Date,Quarter,Time,Year
23-05-2013,Q4,15:59,2013
12-08-2013,Q1,12:53,2013
06-11-2013,Q2,15:51,2013
10-02-2014,Q3,15:35,2014
28-05-2014,Q4,18:39,2014
04-08-2014,Q1,15:11,2014
12-11-2014,Q2,16:19,2014
12-02-2015,Q3,15:47,2015
28-05-2015,Q4,15:35,2015
05-08-2015,Q1,14:56,2015
07-11-2015,Q2,16:52,2015
11-02-2016,Q3,14:49,2016
13-05-2016,Q4,16:38,2016
22-08-2016,Q1,13:51,2016
16-11-2016,Q2,18:49,2016
08-02-2017,Q3,19:37,2017
27-05-2017,Q4,17:00,2017
11-08-2017,Q1,14:49,2017
09-11-2017,Q2,15:03,2017
07-02-2018,Q3,16:46,2018
23-05-2018,Q4,17:07,2018
10-08-2018,Q1,14:38,2018
05-11-2018,Q2,14:57,2018
06-02-2019,Q3,17:16,2019
24-05-2019,Q4,19:01,2019
14-08-2019,Q1,17:30,2019
07-11-2019,Q2,16:18,2019
06-02-2020,Q3,17:32,2020
17-06-2020,Q4,18:34,2020
26-08-2020,Q1,19:23,2020
11-11-2020,Q2,15:34,2020
10-02-2021,Q3,17:16,2021
25-06-2021,Q4,13:56,2021
13-08-2021,Q1,16:00,2021
09-11-2021,Q2,16:14,2021
08-02-2022,Q3,19:11,2022
18-05-2022,Q4,15:44,2022
09-08-2022,Q1,17:49,2022
22-10-2022,Q2,21:15,2022
04-11-2022,Q2,11:37,2022
