Date,Quarter,Time,Year
12-08-2013,Q1,13:23,2013
07-11-2013,Q2,13:27,2013
10-02-2014,Q3,12:23,2014
26-05-2014,Q4,13:03,2014
07-08-2014,Q1,14:23,2014
12-11-2014,Q2,12:39,2014
12-02-2015,Q3,08:39,2015
29-05-2015,Q4,13:11,2015
12-08-2015,Q1,12:57,2015
02-11-2015,Q2,13:13,2015
10-02-2016,Q3,13:27,2016
26-05-2016,Q4,13:52,2016
18-08-2016,Q1,12:52,2016
21-11-2016,Q2,10:04,2016
27-01-2017,Q3,12:38,2017
27-05-2017,Q4,13:42,2017
28-07-2017,Q1,12:28,2017
09-11-2017,Q2,13:42,2017
09-02-2018,Q3,15:22,2018
25-05-2018,Q4,13:05,2018
11-08-2018,Q1,13:52,2018
09-11-2018,Q2,12:03,2018
11-02-2019,Q3,12:31,2019
25-05-2019,Q4,14:16,2019
10-11-2021,Q2,11:10,2021
11-02-2022,Q3,10:59,2022
27-05-2022,Q4,11:06,2022
12-08-2022,Q1,14:11,2022
07-11-2022,Q2,11:10,2022
21-11-2022,Q2,18:18,2022
