Date,Quarter,Time,Year
21-01-2016,Q3,19:33,2016
29-04-2016,Q4,18:17,2016
01-08-2016,Q1,15:54,2016
08-11-2016,Q2,15:41,2016
31-01-2017,Q3,15:33,2017
09-05-2017,Q4,16:11,2017
31-07-2017,Q1,15:40,2017
31-10-2017,Q2,15:44,2017
24-01-2018,Q3,15:22,2018
02-05-2018,Q4,15:59,2018
30-07-2018,Q1,16:01,2018
24-10-2018,Q2,15:37,2018
23-01-2019,Q3,15:31,2019
27-05-2019,Q4,17:01,2019
19-07-2019,Q1,16:07,2019
24-10-2019,Q2,16:18,2019
27-01-2020,Q3,15:59,2020
02-06-2020,Q4,15:38,2020
29-07-2020,Q1,15:49,2020
29-10-2020,Q2,15:38,2020
28-01-2021,Q3,15:37,2021
07-06-2021,Q4,10:20,2021
27-07-2021,Q1,16:14,2021
28-10-2021,Q2,17:54,2021
04-02-2022,Q3,17:59,2022
25-05-2022,Q4,16:13,2022
08-08-2022,Q1,21:46,2022
04-11-2022,Q2,16:30,2022
18-11-2022,Q2,13:58,2022
