Date,Quarter,Time,Year
10-07-2013,Q1,14:14,2013
14-10-2013,Q2,14:15,2013
10-01-2014,Q3,14:03,2014
16-04-2014,Q4,14:19,2014
09-07-2014,Q1,14:07,2014
13-10-2014,Q2,14:03,2014
13-01-2015,Q3,13:43,2015
16-04-2015,Q4,13:55,2015
13-07-2015,Q1,13:49,2015
09-10-2015,Q2,13:54,2015
12-01-2016,Q3,14:05,2016
21-04-2016,Q4,14:03,2016
11-07-2016,Q1,14:31,2016
12-10-2016,Q2,14:00,2016
10-01-2017,Q3,15:09,2017
19-04-2017,Q4,14:08,2017
11-07-2017,Q1,12:50,2017
12-10-2017,Q2,13:42,2017
11-01-2018,Q3,13:38,2018
19-04-2018,Q4,13:43,2018
10-07-2018,Q1,13:25,2018
15-10-2018,Q2,13:49,2018
09-01-2019,Q3,14:28,2019
22-05-2019,Q4,13:10,2019
12-07-2019,Q1,14:13,2019
10-10-2019,Q2,14:28,2019
14-01-2020,Q3,13:35,2020
27-04-2020,Q4,16:27,2020
30-10-2020,Q2,17:14,2020
29-01-2021,Q3,16:13,2021
30-04-2021,Q4,18:35,2021
27-07-2021,Q1,16:40,2021
27-10-2021,Q2,17:01,2021
29-01-2022,Q3,14:57,2022
29-04-2022,Q4,17:30,2022
20-07-2022,Q1,16:18,2022
19-10-2022,Q2,16:44,2022
18-01-2023,Q3,15:54,2023
