Date,Quarter,Time,Year
26-04-2016,Q4,18:00,2016
26-07-2016,Q1,18:16,2016
24-10-2016,Q2,17:09,2016
23-01-2017,Q3,17:14,2017
08-05-2017,Q4,18:10,2017
24-07-2017,Q1,17:17,2017
30-10-2017,Q2,16:53,2017
17-01-2018,Q3,17:14,2018
23-04-2018,Q4,17:31,2018
25-07-2018,Q1,18:07,2018
24-10-2018,Q2,18:26,2018
23-01-2019,Q3,17:17,2019
25-04-2019,Q4,07:17,2019
24-07-2019,Q1,18:56,2019
21-10-2019,Q2,18:58,2019
30-01-2020,Q3,19:35,2020
23-04-2020,Q4,17:56,2020
27-07-2020,Q1,18:08,2020
22-10-2020,Q2,15:55,2020
28-01-2021,Q3,20:01,2021
22-04-2021,Q4,17:40,2021
29-07-2021,Q1,18:26,2021
25-10-2021,Q2,17:41,2021
27-01-2022,Q3,18:46,2022
05-05-2022,Q4,21:05,2022
02-08-2022,Q1,21:58,2022
27-10-2022,Q2,20:55,2022
11-11-2022,Q2,19:14,2022
