Date,Quarter,Time,Year
11-10-2013,Q2,09:00,2013
10-01-2014,Q3,08:51,2014
15-04-2014,Q4,09:07,2014
11-07-2014,Q1,08:55,2014
10-10-2014,Q2,09:27,2014
09-01-2015,Q3,12:59,2015
24-04-2015,Q4,14:19,2015
21-07-2015,Q1,09:05,2015
12-10-2015,Q2,09:13,2015
14-01-2016,Q3,09:26,2016
15-04-2016,Q4,09:40,2016
15-07-2016,Q1,10:07,2016
14-10-2016,Q2,09:59,2016
13-01-2017,Q3,09:04,2017
13-04-2017,Q4,08:50,2017
14-07-2017,Q1,08:51,2017
24-10-2017,Q2,15:43,2017
12-01-2018,Q3,15:47,2018
13-04-2018,Q4,16:38,2018
13-07-2018,Q1,16:17,2018
16-10-2018,Q2,15:53,2018
11-01-2019,Q3,16:05,2019
12-04-2019,Q4,16:03,2019
12-07-2019,Q1,16:06,2019
11-10-2019,Q2,21:06,2019
10-01-2020,Q3,16:09,2020
20-04-2020,Q4,17:18,2020
15-07-2020,Q1,16:21,2020
14-10-2020,Q2,16:10,2020
13-01-2021,Q3,21:56,2021
14-04-2021,Q4,16:09,2021
14-07-2021,Q1,16:13,2021
13-10-2021,Q2,16:13,2021
12-01-2022,Q3,16:10,2022
13-04-2022,Q4,16:27,2022
24-07-2022,Q1,17:58,2022
13-10-2022,Q2,16:03,2022
12-01-2023,Q3,15:40,2023
16-01-2023,Q3,19:18,2023
