Date,Quarter,Time,Year
13-08-2013,Q1,15:15,2013
08-11-2013,Q2,15:15,2013
13-02-2014,Q3,15:51,2014
29-05-2014,Q4,12:47,2014
12-08-2014,Q1,14:51,2014
13-11-2014,Q2,14:59,2014
13-02-2015,Q3,14:51,2015
29-05-2015,Q4,13:39,2015
13-08-2015,Q1,14:52,2015
03-11-2015,Q2,13:21,2015
12-02-2016,Q3,15:32,2016
27-05-2016,Q4,15:09,2016
28-05-2016,Q4,15:10,2016
29-08-2016,Q1,14:07,2016
27-10-2016,Q2,14:29,2016
31-01-2017,Q3,13:39,2017
25-05-2017,Q4,14:33,2017
03-08-2017,Q1,13:59,2017
27-10-2017,Q2,14:12,2017
30-01-2018,Q3,14:18,2018
22-05-2018,Q4,14:27,2018
11-08-2018,Q1,18:59,2018
02-11-2018,Q2,13:08,2018
30-01-2019,Q3,13:41,2019
17-05-2019,Q4,14:15,2019
31-07-2019,Q1,14:06,2019
31-10-2019,Q2,15:23,2019
30-01-2020,Q3,15:00,2020
24-06-2020,Q4,15:19,2020
31-07-2020,Q1,13:55,2020
30-10-2020,Q2,13:45,2020
29-01-2021,Q3,13:05,2021
19-05-2021,Q4,14:30,2021
30-07-2021,Q1,13:28,2021
30-10-2021,Q2,14:07,2021
31-01-2022,Q3,17:49,2022
17-05-2022,Q4,16:22,2022
29-07-2022,Q1,15:25,2022
29-10-2022,Q2,17:11,2022
11-11-2022,Q2,12:19,2022
