Date,Quarter,Time,Year
17-05-2013,Q4,13:31,2013
25-07-2013,Q1,12:12,2013
25-10-2013,Q2,15:19,2013
17-01-2014,Q3,11:23,2014
23-05-2014,Q4,13:55,2014
30-07-2014,Q1,08:15,2014
31-10-2014,Q2,12:47,2014
21-01-2015,Q3,12:39,2015
22-05-2015,Q4,16:23,2015
30-07-2015,Q1,12:20,2015
30-10-2015,Q2,12:41,2015
22-01-2016,Q3,15:27,2016
20-05-2016,Q4,15:13,2016
21-07-2016,Q1,17:27,2016
26-10-2016,Q2,13:56,2016
27-01-2017,Q3,13:19,2017
26-05-2017,Q4,14:46,2017
27-07-2017,Q1,18:41,2017
27-10-2017,Q2,14:49,2017
19-01-2018,Q3,13:04,2018
16-05-2018,Q4,13:41,2018
26-07-2018,Q1,17:14,2018
26-10-2018,Q2,14:05,2018
23-01-2019,Q3,14:19,2019
13-05-2019,Q4,14:45,2019
02-08-2019,Q1,18:35,2019
24-10-2019,Q2,17:21,2019
31-01-2020,Q3,19:51,2020
26-06-2020,Q4,18:48,2020
24-07-2020,Q1,19:32,2020
06-11-2020,Q2,20:36,2020
11-02-2021,Q3,20:12,2021
01-06-2021,Q4,18:58,2021
24-07-2021,Q1,19:46,2021
27-10-2021,Q2,20:14,2021
03-02-2022,Q3,21:03,2022
18-05-2022,Q4,18:29,2022
01-08-2022,Q1,17:09,2022
20-10-2022,Q2,19:48,2022
02-11-2022,Q2,14:30,2022
