Date,Quarter,Time,Year
30-07-2013,Q1,16:56,2013
30-10-2013,Q2,14:35,2013
28-01-2014,Q3,15:11,2014
29-04-2014,Q4,15:19,2014
06-08-2014,Q1,15:59,2014
04-11-2014,Q2,16:59,2014
04-02-2015,Q3,08:47,2015
27-05-2015,Q4,19:15,2015
12-08-2015,Q1,16:36,2015
14-11-2015,Q2,18:24,2015
13-02-2016,Q3,19:53,2016
04-05-2016,Q4,17:28,2016
13-05-2016,Q4,23:40,2016
08-09-2016,Q1,17:06,2016
08-12-2016,Q2,19:37,2016
14-02-2017,Q3,16:27,2017
23-05-2017,Q4,13:47,2017
08-08-2017,Q1,17:47,2017
09-11-2017,Q2,17:56,2017
25-01-2018,Q3,17:08,2018
09-05-2018,Q4,16:22,2018
10-08-2018,Q1,10:44,2018
13-11-2018,Q2,17:15,2018
02-02-2019,Q3,19:31,2019
21-05-2019,Q4,20:05,2019
14-08-2019,Q1,14:29,2019
05-11-2019,Q2,19:01,2019
18-01-2020,Q3,14:13,2020
25-05-2020,Q4,18:58,2020
22-07-2020,Q1,14:24,2020
30-10-2020,Q2,13:11,2020
21-01-2021,Q3,16:59,2021
12-05-2021,Q4,15:50,2021
10-08-2021,Q1,14:11,2021
02-11-2021,Q2,14:13,2021
08-02-2022,Q3,15:52,2022
31-05-2022,Q4,10:17,2022
15-07-2022,Q1,17:33,2022
10-11-2022,Q2,16:48,2022
24-11-2022,Q2,18:27,2022
