Date,Quarter,Time,Year
31-07-2013,Q1,14:11,2013
29-10-2013,Q2,14:19,2013
28-01-2014,Q3,14:47,2014
27-05-2014,Q4,19:19,2014
01-08-2014,Q1,14:35,2014
21-10-2014,Q2,15:11,2014
30-01-2015,Q3,15:03,2015
15-05-2015,Q4,15:35,2015
29-07-2015,Q1,15:25,2015
21-10-2015,Q2,15:28,2015
29-01-2016,Q3,15:25,2016
18-05-2016,Q4,15:06,2016
20-05-2016,Q4,17:47,2016
27-07-2016,Q1,15:01,2016
27-10-2016,Q2,15:27,2016
31-01-2017,Q3,15:15,2017
17-05-2017,Q4,15:56,2017
01-08-2017,Q1,15:28,2017
31-10-2017,Q2,15:43,2017
31-01-2018,Q3,15:22,2018
17-05-2018,Q4,11:54,2018
25-07-2018,Q1,15:10,2018
25-10-2018,Q2,15:21,2018
06-02-2019,Q3,15:18,2019
24-05-2019,Q4,15:08,2019
26-07-2019,Q1,15:17,2019
23-10-2019,Q2,15:26,2019
24-01-2020,Q3,15:35,2020
22-05-2020,Q4,16:02,2020
24-07-2020,Q1,15:37,2020
23-10-2020,Q2,15:33,2020
22-01-2021,Q3,15:33,2021
21-05-2021,Q4,15:32,2021
23-07-2021,Q1,15:52,2021
21-10-2021,Q2,15:32,2021
21-01-2022,Q3,15:38,2022
27-05-2022,Q4,16:34,2022
22-07-2022,Q1,15:43,2022
21-10-2022,Q2,15:32,2022
20-01-2023,Q3,15:37,2023
