Date,Quarter,Time,Year
09-05-2013,Q4,14:51,2013
02-08-2013,Q1,13:09,2013
31-10-2013,Q2,16:31,2013
04-02-2014,Q3,14:23,2014
19-05-2014,Q4,14:23,2014
07-08-2014,Q1,14:23,2014
30-10-2014,Q2,13:55,2014
05-02-2015,Q3,14:11,2015
14-05-2015,Q4,15:55,2015
13-08-2015,Q1,15:01,2015
05-11-2015,Q2,14:14,2015
11-02-2016,Q3,14:57,2016
28-05-2016,Q4,16:27,2016
03-09-2016,Q1,14:52,2016
26-10-2016,Q2,13:20,2016
06-02-2017,Q3,14:44,2017
29-05-2017,Q4,15:38,2017
17-07-2017,Q1,13:10,2017
26-10-2017,Q2,13:35,2017
19-01-2018,Q3,13:53,2018
08-05-2018,Q4,13:33,2018
25-07-2018,Q1,13:51,2018
24-10-2018,Q2,13:11,2018
30-01-2019,Q3,13:07,2019
15-05-2019,Q4,13:38,2019
24-07-2019,Q1,14:34,2019
22-10-2019,Q2,14:15,2019
29-01-2020,Q3,14:41,2020
20-05-2020,Q4,16:15,2020
02-09-2020,Q1,13:52,2020
12-11-2020,Q2,15:14,2020
03-02-2021,Q3,14:30,2021
15-06-2021,Q4,14:39,2021
21-07-2021,Q1,13:59,2021
20-10-2021,Q2,13:24,2021
02-02-2022,Q3,14:11,2022
30-05-2022,Q4,14:19,2022
28-07-2022,Q1,12:29,2022
08-11-2022,Q2,13:23,2022
