Date,Quarter,Time,Year
02-05-2013,Q4,14:02,2013
18-07-2013,Q1,11:42,2013
24-10-2013,Q2,12:19,2013
21-01-2014,Q3,13:15,2014
30-04-2014,Q4,14:55,2014
16-07-2014,Q1,11:47,2014
22-10-2014,Q2,11:59,2014
20-01-2015,Q3,11:47,2015
05-05-2015,Q4,14:07,2015
30-07-2015,Q1,15:55,2015
30-10-2015,Q2,12:53,2015
18-01-2016,Q3,13:09,2016
11-05-2016,Q4,14:15,2016
21-07-2016,Q1,13:20,2016
25-10-2016,Q2,12:52,2016
25-01-2017,Q3,13:02,2017
27-04-2017,Q4,13:37,2017
20-07-2017,Q1,10:36,2017
25-10-2017,Q2,13:09,2017
19-01-2018,Q3,12:55,2018
30-04-2018,Q4,13:54,2018
19-07-2018,Q1,12:39,2018
24-10-2018,Q2,12:52,2018
21-01-2019,Q3,12:43,2019
30-04-2019,Q4,14:22,2019
22-07-2019,Q1,16:46,2019
22-10-2019,Q2,13:57,2019
20-01-2020,Q3,13:31,2020
13-05-2020,Q4,12:30,2020
27-07-2020,Q1,13:55,2020
26-10-2020,Q2,13:17,2020
25-01-2021,Q3,13:49,2021
03-05-2021,Q4,13:16,2021
26-07-2021,Q1,13:40,2021
26-10-2021,Q2,12:53,2021
28-01-2022,Q3,12:43,2022
04-05-2022,Q4,13:16,2022
23-07-2022,Q1,11:53,2022
22-10-2022,Q2,17:44,2022
