Date,Quarter,Time,Year
23-04-2014,Q4,17:07,2014
23-07-2014,Q1,16:11,2014
22-10-2014,Q2,13:59,2014
21-01-2015,Q3,17:03,2015
23-04-2015,Q4,13:27,2015
23-07-2015,Q1,14:17,2015
24-10-2015,Q2,16:30,2015
22-01-2016,Q3,12:29,2016
02-05-2016,Q4,14:45,2016
22-07-2016,Q1,15:02,2016
25-10-2016,Q2,15:29,2016
24-01-2017,Q3,14:03,2017
04-05-2017,Q4,17:52,2017
26-07-2017,Q1,15:17,2017
26-10-2017,Q2,13:31,2017
25-01-2018,Q3,12:58,2018
03-05-2018,Q4,15:38,2018
20-07-2018,Q1,16:20,2018
24-10-2018,Q2,18:03,2018
21-01-2019,Q3,17:31,2019
28-04-2019,Q4,16:29,2019
19-07-2019,Q1,16:05,2019
18-10-2019,Q2,18:58,2019
17-01-2020,Q3,18:45,2020
15-05-2020,Q4,17:46,2020
16-07-2020,Q1,17:40,2020
22-10-2020,Q2,18:05,2020
15-01-2021,Q3,20:22,2021
29-04-2021,Q4,17:50,2021
16-07-2021,Q1,17:58,2021
20-10-2021,Q2,18:01,2021
21-01-2022,Q3,17:58,2022
29-04-2022,Q4,18:47,2022
13-01-2023,Q3,18:56,2023
