Date,Quarter,Time,Year
27-05-2016,Q4,14:21,2016
29-07-2016,Q1,14:29,2016
03-11-2016,Q2,14:10,2016
02-02-2017,Q3,14:20,2017
12-05-2017,Q4,14:40,2017
07-08-2017,Q1,14:34,2017
09-11-2017,Q2,14:21,2017
08-02-2018,Q3,14:33,2018
14-05-2018,Q4,16:44,2018
10-08-2018,Q1,14:22,2018
06-11-2018,Q2,14:26,2018
08-02-2019,Q3,15:09,2019
17-05-2019,Q4,20:58,2019
13-08-2019,Q1,14:58,2019
08-11-2019,Q2,14:39,2019
03-02-2020,Q3,14:59,2020
18-05-2020,Q4,14:25,2020
31-07-2020,Q1,14:30,2020
06-11-2020,Q2,14:32,2020
29-01-2021,Q3,16:02,2021
21-05-2021,Q4,15:43,2021
30-07-2021,Q1,13:18,2021
26-10-2021,Q2,16:47,2021
10-02-2022,Q3,14:50,2022
17-05-2022,Q4,15:44,2022
28-07-2022,Q1,13:14,2022
08-11-2022,Q2,14:16,2022
