Date,Quarter,Time,Year
14-08-2013,Q1,14:43,2013
30-10-2013,Q2,12:03,2013
16-01-2014,Q3,12:07,2014
21-04-2014,Q4,17:31,2014
25-07-2014,Q1,12:35,2014
20-10-2014,Q2,09:11,2014
14-01-2015,Q3,12:55,2015
20-04-2015,Q4,09:47,2015
20-07-2015,Q1,15:56,2015
15-10-2015,Q2,13:40,2015
16-01-2016,Q3,14:06,2016
18-04-2016,Q4,14:32,2016
15-07-2016,Q1,13:37,2016
20-10-2016,Q2,14:02,2016
16-01-2017,Q3,14:27,2017
25-04-2017,Q4,15:44,2017
28-07-2017,Q1,14:03,2017
30-10-2017,Q2,18:33,2017
25-01-2018,Q3,17:03,2018
23-04-2018,Q4,18:36,2018
24-08-2018,Q1,15:34,2018
29-10-2018,Q2,17:01,2018
30-01-2019,Q3,16:18,2019
04-05-2019,Q4,15:24,2019
03-08-2019,Q1,15:12,2019
19-10-2019,Q2,16:11,2019
30-01-2020,Q3,14:32,2020
19-06-2020,Q4,16:22,2020
24-08-2020,Q1,18:05,2020
11-11-2020,Q2,15:05,2020
29-01-2021,Q3,14:01,2021
15-06-2021,Q4,15:31,2021
29-07-2021,Q1,14:13,2021
21-10-2021,Q2,19:18,2021
27-01-2022,Q3,18:30,2022
18-05-2022,Q4,16:52,2022
04-08-2022,Q1,15:48,2022
01-11-2022,Q2,18:15,2022
