Date,Quarter,Time,Year
31-07-2015,Q1,15:56,2015
30-10-2015,Q2,14:17,2015
29-01-2016,Q3,16:50,2016
25-05-2016,Q4,16:19,2016
29-07-2016,Q1,16:12,2016
22-11-2016,Q2,16:22,2016
28-01-2017,Q3,14:15,2017
29-05-2017,Q4,16:55,2017
28-07-2017,Q1,16:43,2017
11-11-2017,Q2,16:36,2017
31-01-2018,Q3,16:18,2018
28-05-2018,Q4,16:07,2018
25-07-2018,Q1,16:01,2018
31-10-2018,Q2,16:48,2018
25-01-2019,Q3,16:28,2019
10-05-2019,Q4,16:54,2019
23-07-2019,Q1,16:47,2019
23-10-2019,Q2,16:51,2019
22-01-2020,Q3,17:14,2020
05-06-2020,Q4,18:29,2020
22-07-2020,Q1,16:58,2020
28-10-2020,Q2,17:41,2020
25-01-2021,Q3,17:09,2021
14-05-2021,Q4,17:43,2021
26-07-2021,Q1,17:28,2021
27-10-2021,Q2,17:22,2021
28-01-2022,Q3,16:26,2022
12-05-2022,Q4,16:46,2022
26-07-2022,Q1,17:30,2022
31-10-2022,Q2,16:43,2022
15-11-2022,Q2,22:18,2022
