Date,Quarter,Time,Year
07-08-2013,Q1,14:40,2013
30-10-2013,Q2,13:35,2013
03-02-2014,Q3,14:07,2014
07-05-2014,Q4,14:11,2014
30-07-2014,Q1,19:35,2014
28-10-2014,Q2,13:35,2014
03-02-2015,Q3,14:23,2015
13-05-2015,Q4,14:47,2015
23-07-2015,Q1,14:23,2015
27-10-2015,Q2,13:56,2015
05-02-2016,Q3,14:20,2016
19-05-2016,Q4,14:07,2016
09-08-2016,Q1,13:33,2016
09-11-2016,Q2,14:08,2016
09-02-2017,Q3,13:23,2017
24-05-2017,Q4,14:44,2017
02-08-2017,Q1,13:45,2017
30-10-2017,Q2,14:16,2017
06-02-2018,Q3,14:47,2018
15-05-2018,Q4,14:56,2018
08-08-2018,Q1,13:58,2018
31-10-2018,Q2,14:47,2018
06-02-2019,Q3,14:34,2019
15-05-2019,Q4,14:53,2019
07-08-2019,Q1,13:49,2019
06-11-2019,Q2,14:51,2019
06-02-2020,Q3,15:03,2020
28-05-2020,Q4,23:32,2020
06-08-2020,Q1,22:35,2020
04-11-2020,Q2,22:47,2020
28-01-2021,Q3,22:18,2021
13-05-2021,Q4,00:11,2021
10-08-2021,Q1,22:29,2021
27-10-2021,Q2,23:06,2021
03-02-2022,Q3,23:26,2022
18-05-2022,Q4,20:34,2022
03-08-2022,Q1,22:35,2022
09-11-2022,Q2,20:11,2022
23-11-2022,Q2,14:19,2022
