Date,Quarter,Time,Year
30-05-2013,Q4,14:56,2013
13-08-2013,Q1,14:49,2013
13-11-2013,Q2,14:07,2013
14-02-2014,Q3,13:55,2014
30-05-2014,Q4,13:43,2014
08-08-2014,Q1,13:43,2014
31-10-2014,Q2,13:27,2014
13-02-2015,Q3,14:11,2015
29-05-2015,Q4,14:03,2015
07-08-2015,Q1,13:11,2015
06-11-2015,Q2,13:50,2015
12-02-2016,Q3,12:15,2016
30-05-2016,Q4,14:08,2016
10-08-2016,Q1,13:36,2016
11-11-2016,Q2,13:39,2016
10-02-2017,Q3,14:05,2017
30-05-2017,Q4,14:28,2017
04-08-2017,Q1,13:30,2017
10-11-2017,Q2,14:14,2017
09-02-2018,Q3,17:26,2018
29-05-2018,Q4,13:40,2018
07-08-2018,Q1,13:03,2018
14-11-2018,Q2,13:59,2018
08-02-2019,Q3,13:40,2019
29-05-2019,Q4,13:53,2019
07-08-2019,Q1,12:54,2019
08-11-2019,Q2,14:06,2019
08-02-2020,Q3,14:42,2020
12-06-2020,Q4,13:38,2020
07-08-2020,Q1,13:03,2020
10-11-2020,Q2,13:04,2020
05-02-2021,Q3,13:05,2021
28-05-2021,Q4,14:15,2021
06-08-2021,Q1,11:58,2021
09-11-2021,Q2,13:21,2021
10-02-2022,Q3,12:34,2022
28-05-2022,Q4,11:31,2022
