Date,Quarter,Time,Year
23-04-2013,Q4,17:13,2013
25-07-2013,Q1,15:09,2013
21-10-2013,Q2,15:31,2013
22-01-2014,Q3,15:23,2014
23-04-2014,Q4,18:07,2014
24-07-2014,Q1,15:43,2014
22-10-2014,Q2,16:19,2014
17-01-2015,Q3,15:19,2015
23-04-2015,Q4,16:59,2015
24-07-2015,Q1,14:44,2015
21-10-2015,Q2,13:53,2015
21-01-2016,Q3,14:50,2016
23-04-2016,Q4,16:59,2016
22-07-2016,Q1,15:11,2016
25-10-2016,Q2,16:59,2016
24-01-2017,Q3,14:25,2017
25-04-2017,Q4,16:41,2017
24-07-2017,Q1,14:57,2017
25-10-2017,Q2,16:10,2017
24-01-2018,Q3,14:59,2018
25-04-2018,Q4,17:40,2018
27-07-2018,Q1,14:57,2018
24-10-2018,Q2,15:56,2018
25-01-2019,Q3,16:39,2019
25-04-2019,Q4,06:45,2019
23-07-2019,Q1,15:42,2019
22-10-2019,Q2,17:27,2019
28-01-2020,Q3,16:41,2020
15-05-2020,Q4,18:01,2020
18-07-2020,Q1,19:50,2020
26-10-2020,Q2,17:17,2020
28-01-2021,Q3,19:07,2021
23-04-2021,Q4,19:14,2021
26-07-2021,Q1,14:53,2021
28-10-2021,Q2,17:25,2021
02-02-2022,Q3,17:26,2022
03-05-2022,Q4,15:40,2022
