Date,Quarter,Time,Year
03-02-2015,Q3,14:31,2015
14-05-2015,Q4,17:03,2015
14-08-2015,Q1,16:44,2015
05-11-2015,Q2,16:09,2015
12-02-2016,Q3,15:30,2016
12-05-2016,Q4,16:47,2016
16-05-2016,Q4,13:43,2016
09-08-2016,Q1,14:30,2016
10-11-2016,Q2,14:55,2016
08-02-2017,Q3,16:34,2017
25-05-2017,Q4,16:52,2017
10-08-2017,Q1,16:27,2017
07-11-2017,Q2,16:46,2017
08-02-2018,Q3,16:39,2018
18-05-2018,Q4,17:21,2018
09-08-2018,Q1,15:25,2018
07-11-2018,Q2,15:51,2018
06-02-2019,Q3,16:10,2019
15-05-2019,Q4,16:12,2019
13-08-2019,Q1,16:00,2019
06-11-2019,Q2,16:35,2019
28-01-2020,Q3,14:49,2020
14-05-2020,Q4,17:29,2020
29-07-2020,Q1,14:58,2020
06-11-2020,Q2,13:27,2020
29-01-2021,Q3,13:05,2021
26-05-2021,Q4,14:08,2021
10-08-2021,Q1,14:09,2021
13-11-2021,Q2,17:00,2021
18-05-2022,Q4,16:12,2022
04-08-2022,Q1,16:21,2022
12-11-2022,Q2,16:24,2022
14-11-2022,Q2,16:54,2022
26-11-2022,Q2,16:52,2022
