Date,Quarter,Time,Year
30-04-2013,Q4,16:29,2013
12-08-2013,Q1,14:47,2013
29-10-2013,Q2,13:55,2013
31-01-2014,Q3,13:51,2014
30-04-2014,Q4,13:55,2014
04-08-2014,Q1,13:51,2014
07-11-2014,Q2,13:23,2014
03-02-2015,Q3,14:27,2015
30-04-2015,Q4,13:55,2015
05-08-2015,Q1,14:30,2015
04-11-2015,Q2,14:39,2015
30-01-2016,Q3,13:33,2016
29-04-2016,Q4,13:46,2016
05-08-2016,Q1,15:26,2016
28-10-2016,Q2,15:29,2016
02-02-2017,Q3,14:32,2017
02-05-2017,Q4,17:36,2017
01-08-2017,Q1,13:50,2017
30-10-2017,Q2,15:02,2017
09-02-2018,Q3,15:58,2018
02-05-2018,Q4,14:46,2018
02-08-2018,Q1,14:45,2018
01-11-2018,Q2,14:42,2018
05-02-2019,Q3,16:02,2019
06-05-2019,Q4,15:43,2019
01-08-2019,Q1,14:54,2019
25-10-2019,Q2,15:37,2019
30-01-2020,Q3,16:37,2020
04-05-2020,Q4,16:28,2020
27-07-2020,Q1,14:45,2020
28-10-2020,Q2,14:12,2020
27-01-2021,Q3,14:02,2021
30-04-2021,Q4,13:34,2021
30-07-2021,Q1,14:44,2021
28-10-2021,Q2,14:18,2021
28-01-2022,Q3,16:33,2022
05-05-2022,Q4,15:37,2022
06-08-2022,Q1,14:18,2022
04-11-2022,Q2,15:46,2022
18-11-2022,Q2,19:53,2022
