Date,Quarter,Time,Year
26-04-2013,Q4,13:20,2013
25-07-2013,Q1,15:02,2013
28-10-2013,Q2,16:43,2013
28-01-2014,Q3,14:11,2014
25-04-2014,Q4,13:11,2014
31-07-2014,Q1,13:55,2014
30-10-2014,Q2,13:31,2014
27-01-2015,Q3,13:27,2015
27-04-2015,Q4,13:43,2015
28-07-2015,Q1,12:46,2015
27-10-2015,Q2,14:23,2015
28-01-2016,Q3,17:09,2016
26-04-2016,Q4,12:48,2016
26-07-2016,Q1,14:16,2016
27-10-2016,Q2,13:04,2016
25-01-2017,Q3,12:55,2017
27-04-2017,Q4,13:31,2017
27-07-2017,Q1,13:32,2017
27-10-2017,Q2,13:50,2017
25-01-2018,Q3,16:28,2018
27-04-2018,Q4,14:55,2018
26-07-2018,Q1,13:54,2018
25-10-2018,Q2,13:52,2018
25-01-2019,Q3,14:33,2019
25-04-2019,Q4,14:19,2019
26-07-2019,Q1,13:35,2019
24-10-2019,Q2,13:26,2019
28-01-2020,Q3,13:34,2020
13-05-2020,Q4,14:43,2020
29-07-2020,Q1,14:09,2020
29-10-2020,Q2,13:59,2020
28-01-2021,Q3,13:35,2021
27-04-2021,Q4,14:07,2021
28-07-2021,Q1,15:22,2021
27-10-2021,Q2,13:51,2021
25-01-2022,Q3,13:53,2022
29-04-2022,Q4,14:48,2022
27-07-2022,Q1,14:37,2022
28-10-2022,Q2,14:01,2022
11-11-2022,Q2,18:18,2022
