Date,Quarter,Time,Year
01-08-2013,Q1,09:53,2013
09-11-2013,Q2,12:39,2013
13-02-2014,Q3,19:11,2014
04-09-2014,Q1,09:07,2014
20-10-2014,Q2,13:35,2014
14-11-2014,Q2,08:35,2014
27-01-2015,Q3,08:23,2015
27-05-2015,Q4,08:43,2015
23-07-2015,Q1,18:03,2015
03-11-2015,Q2,08:56,2015
28-01-2016,Q3,08:54,2016
26-05-2016,Q4,20:15,2016
26-07-2016,Q1,18:42,2016
27-10-2016,Q2,17:37,2016
21-01-2017,Q3,17:40,2017
30-05-2017,Q4,18:19,2017
24-07-2017,Q1,16:02,2017
26-10-2017,Q2,17:09,2017
23-01-2018,Q3,19:01,2018
24-05-2018,Q4,19:27,2018
23-07-2018,Q1,20:44,2018
31-10-2018,Q2,18:05,2018
23-01-2019,Q3,19:44,2019
29-05-2019,Q4,19:32,2019
22-07-2019,Q1,18:00,2019
24-10-2019,Q2,17:06,2019
27-01-2020,Q3,18:14,2020
27-05-2020,Q4,18:13,2020
27-07-2020,Q1,17:31,2020
04-11-2020,Q2,16:10,2020
27-01-2021,Q3,18:55,2021
21-05-2021,Q4,17:10,2021
23-07-2021,Q1,17:37,2021
27-10-2021,Q2,15:23,2021
25-01-2022,Q3,17:10,2022
27-05-2022,Q4,17:38,2022
26-07-2022,Q1,18:33,2022
21-10-2022,Q2,17:57,2022
04-11-2022,Q2,22:21,2022
