Date,Quarter,Time,Year
04-06-2013,Q4,12:20,2013
13-08-2013,Q1,16:49,2013
08-11-2013,Q2,15:55,2013
12-02-2014,Q3,16:11,2014
28-05-2014,Q4,18:23,2014
13-08-2014,Q1,13:51,2014
12-11-2014,Q2,15:47,2014
12-02-2015,Q3,18:11,2015
27-05-2015,Q4,14:59,2015
12-08-2015,Q1,17:37,2015
06-11-2015,Q2,17:26,2015
12-02-2016,Q3,12:31,2016
30-05-2016,Q4,17:16,2016
08-08-2016,Q1,19:05,2016
04-11-2016,Q2,14:09,2016
10-02-2017,Q3,13:55,2017
30-05-2017,Q4,13:41,2017
09-08-2017,Q1,17:24,2017
13-11-2017,Q2,13:39,2017
09-02-2018,Q3,13:49,2018
25-05-2018,Q4,15:58,2018
06-08-2018,Q1,17:04,2018
14-11-2018,Q2,14:55,2018
11-02-2019,Q3,12:57,2019
28-05-2019,Q4,18:49,2019
06-08-2019,Q1,14:50,2019
06-11-2019,Q2,15:39,2019
05-02-2020,Q3,15:24,2020
26-05-2020,Q4,15:33,2020
30-07-2020,Q1,15:05,2020
30-10-2020,Q2,16:27,2020
09-02-2021,Q3,12:58,2021
08-06-2021,Q4,16:20,2021
10-08-2021,Q1,13:54,2021
09-11-2021,Q2,18:16,2021
28-01-2022,Q3,18:03,2022
10-05-2022,Q4,18:12,2022
01-08-2022,Q1,17:18,2022
19-10-2022,Q2,17:48,2022
03-11-2022,Q2,17:52,2022
