Date,Quarter,Time,Year
01-09-2016,Q1,13:17,2016
28-11-2016,Q2,16:09,2016
11-02-2017,Q3,23:55,2017
26-05-2017,Q4,19:15,2017
09-08-2017,Q1,15:12,2017
08-11-2017,Q2,14:53,2017
09-02-2018,Q3,16:17,2018
21-05-2018,Q4,19:21,2018
31-07-2018,Q1,17:09,2018
13-11-2018,Q2,16:49,2018
29-01-2019,Q3,18:12,2019
09-05-2019,Q4,19:27,2019
08-08-2019,Q1,16:52,2019
11-11-2019,Q2,17:37,2019
07-02-2020,Q3,19:34,2020
10-06-2020,Q4,21:06,2020
07-08-2020,Q1,13:54,2020
12-11-2020,Q2,17:45,2020
09-02-2021,Q3,17:47,2021
24-05-2021,Q4,20:07,2021
28-07-2021,Q1,18:12,2021
26-10-2021,Q2,19:52,2021
08-02-2022,Q3,21:25,2022
10-05-2022,Q4,20:21,2022
06-08-2022,Q1,17:20,2022
11-11-2022,Q2,18:28,2022
17-11-2022,Q2,11:31,2022
