Date,Quarter,Time,Year
18-07-2013,Q1,16:16,2013
17-10-2013,Q2,08:13,2013
16-01-2014,Q3,16:39,2014
16-04-2014,Q4,15:43,2014
17-07-2014,Q1,16:11,2014
16-10-2014,Q2,08:31,2014
19-01-2015,Q3,15:43,2015
16-04-2015,Q4,15:43,2015
16-07-2015,Q1,15:38,2015
15-10-2015,Q2,15:48,2015
18-01-2016,Q3,15:50,2016
18-04-2016,Q4,16:09,2016
18-07-2016,Q1,15:54,2016
21-10-2016,Q2,16:33,2016
19-01-2017,Q3,16:07,2017
20-04-2017,Q4,16:00,2017
19-07-2017,Q1,16:25,2017
25-10-2017,Q2,16:03,2017
17-01-2018,Q3,15:36,2018
18-04-2018,Q4,16:10,2018
24-04-2018,Q4,09:53,2018
18-07-2018,Q1,16:03,2018
17-10-2018,Q2,15:37,2018
16-01-2019,Q3,16:16,2019
17-04-2019,Q4,13:44,2019
17-07-2019,Q1,16:46,2019
16-10-2019,Q2,15:46,2019
14-01-2020,Q3,16:16,2020
24-04-2020,Q4,16:57,2020
14-07-2020,Q1,13:36,2020
15-10-2020,Q2,16:32,2020
18-01-2021,Q3,15:43,2021
16-04-2021,Q4,16:11,2021
13-07-2021,Q1,15:36,2021
13-10-2021,Q2,15:47,2021
13-01-2022,Q3,15:51,2022
18-04-2022,Q4,16:37,2022
13-07-2022,Q1,15:59,2022
13-10-2022,Q2,16:21,2022
