Date,Quarter,Time,Year
18-04-2013,Q4,14:02,2013
25-07-2013,Q1,14:22,2013
28-11-2013,Q2,15:47,2013
06-02-2014,Q3,16:03,2014
22-04-2014,Q4,14:55,2014
23-07-2014,Q1,14:43,2014
26-11-2014,Q2,17:43,2014
12-02-2015,Q3,15:19,2015
23-04-2015,Q4,14:15,2015
27-07-2015,Q1,14:29,2015
29-10-2015,Q2,13:28,2015
25-01-2016,Q3,15:01,2016
03-05-2016,Q4,14:42,2016
11-08-2016,Q1,15:24,2016
27-10-2016,Q2,13:12,2016
03-02-2017,Q3,13:57,2017
04-05-2017,Q4,15:08,2017
04-08-2017,Q1,14:57,2017
10-11-2017,Q2,13:00,2017
01-02-2018,Q3,13:13,2018
03-05-2018,Q4,14:10,2018
09-08-2018,Q1,15:01,2018
08-11-2018,Q2,13:26,2018
07-02-2019,Q3,13:28,2019
02-05-2019,Q4,13:46,2019
09-08-2019,Q1,14:33,2019
08-11-2019,Q2,12:52,2019
10-02-2020,Q3,13:36,2020
29-06-2020,Q4,12:51,2020
14-08-2020,Q1,12:35,2020
06-11-2020,Q2,12:49,2020
11-02-2021,Q3,12:34,2021
07-06-2021,Q4,12:45,2021
09-08-2021,Q1,12:21,2021
09-11-2021,Q2,12:11,2021
10-02-2022,Q3,12:13,2022
10-05-2022,Q4,12:55,2022
09-08-2022,Q1,12:09,2022
08-11-2022,Q2,12:25,2022
22-11-2022,Q2,17:21,2022
