Date,Quarter,Time,Year
14-05-2013,Q4,13:14,2013
25-07-2013,Q1,17:33,2013
31-10-2013,Q2,17:11,2013
30-01-2014,Q3,13:03,2014
26-05-2014,Q4,12:55,2014
12-08-2014,Q1,08:27,2014
05-11-2014,Q2,12:47,2014
22-01-2015,Q3,12:39,2015
05-05-2015,Q4,19:59,2015
22-07-2015,Q1,18:17,2015
29-10-2015,Q2,17:40,2015
28-01-2016,Q3,17:12,2016
27-05-2016,Q4,16:37,2016
28-07-2016,Q1,16:42,2016
11-11-2016,Q2,12:58,2016
13-02-2017,Q3,16:24,2017
18-05-2017,Q4,16:59,2017
08-08-2017,Q1,14:40,2017
08-11-2017,Q2,16:13,2017
08-02-2018,Q3,15:15,2018
16-05-2018,Q4,15:41,2018
04-09-2018,Q1,15:33,2018
06-12-2018,Q2,14:23,2018
06-02-2019,Q3,13:42,2019
13-05-2019,Q4,16:05,2019
12-08-2019,Q1,18:39,2019
13-11-2019,Q2,16:45,2019
14-02-2020,Q3,18:12,2020
17-06-2020,Q4,16:07,2020
19-08-2020,Q1,14:46,2020
03-11-2020,Q2,13:15,2020
09-02-2021,Q3,14:14,2021
02-06-2021,Q4,14:48,2021
06-08-2021,Q1,14:17,2021
04-11-2021,Q2,14:14,2021
26-05-2022,Q4,16:14,2022
12-08-2022,Q1,16:17,2022
10-11-2022,Q2,16:32,2022
