Date,Quarter,Time,Year
27-05-2013,Q4,19:03,2013
14-08-2013,Q1,16:44,2013
12-11-2013,Q2,09:59,2013
29-01-2014,Q3,18:39,2014
28-05-2014,Q4,17:43,2014
13-08-2014,Q1,16:55,2014
12-11-2014,Q2,18:27,2014
10-02-2015,Q3,18:23,2015
30-05-2015,Q4,20:19,2015
12-08-2015,Q1,17:39,2015
13-11-2015,Q2,07:57,2015
11-02-2016,Q3,17:40,2016
28-05-2016,Q4,21:08,2016
12-09-2016,Q1,16:21,2016
14-12-2016,Q2,16:30,2016
13-02-2017,Q3,16:37,2017
27-05-2017,Q4,15:55,2017
09-08-2017,Q1,18:19,2017
11-11-2017,Q2,19:00,2017
09-02-2018,Q3,19:26,2018
26-05-2018,Q4,17:03,2018
08-08-2018,Q1,16:23,2018
12-11-2018,Q2,19:31,2018
08-02-2019,Q3,19:03,2019
30-05-2019,Q4,19:44,2019
13-08-2019,Q1,18:43,2019
13-11-2019,Q2,19:37,2019
10-02-2020,Q3,18:40,2020
26-06-2020,Q4,15:58,2020
04-09-2020,Q1,16:56,2020
11-11-2020,Q2,16:01,2020
12-02-2021,Q3,14:53,2021
28-06-2021,Q4,15:41,2021
06-08-2021,Q1,15:35,2021
12-11-2021,Q2,19:42,2021
07-02-2022,Q3,17:38,2022
25-05-2022,Q4,19:35,2022
08-08-2022,Q1,18:52,2022
09-11-2022,Q2,12:48,2022
14-11-2022,Q2,16:14,2022
