Date,Quarter,Time,Year
27-05-2013,Q4,16:55,2013
13-08-2013,Q1,18:09,2013
31-10-2013,Q2,16:43,2013
11-02-2014,Q3,15:31,2014
26-05-2014,Q4,14:31,2014
12-08-2014,Q1,13:43,2014
13-11-2014,Q2,17:59,2014
13-02-2015,Q3,16:43,2015
22-05-2015,Q4,14:59,2015
13-08-2015,Q1,17:34,2015
09-11-2015,Q2,19:27,2015
10-02-2016,Q3,14:22,2016
16-05-2016,Q4,15:03,2016
14-09-2016,Q1,18:02,2016
18-11-2016,Q2,16:56,2016
13-02-2017,Q3,14:19,2017
26-05-2017,Q4,15:28,2017
14-08-2017,Q1,21:00,2017
14-11-2017,Q2,15:34,2017
13-02-2018,Q3,15:30,2018
25-05-2018,Q4,15:31,2018
11-08-2018,Q1,15:31,2018
14-11-2018,Q2,20:30,2018
13-02-2019,Q3,18:20,2019
29-05-2019,Q4,23:55,2019
08-08-2019,Q1,16:26,2019
14-11-2019,Q2,17:19,2019
30-05-2022,Q4,18:19,2022
04-07-2022,Q1,18:25,2022
10-08-2022,Q1,21:22,2022
14-11-2022,Q2,15:52,2022
28-11-2022,Q2,17:43,2022
