Date,Quarter,Time,Year
29-05-2013,Q4,19:54,2013
07-08-2013,Q1,14:30,2013
24-10-2013,Q2,16:55,2013
10-02-2014,Q3,19:59,2014
30-05-2014,Q4,16:27,2014
12-08-2014,Q1,16:31,2014
31-10-2014,Q2,16:55,2014
06-02-2015,Q3,15:19,2015
28-05-2015,Q4,16:11,2015
11-08-2015,Q1,16:47,2015
10-11-2015,Q2,15:48,2015
12-02-2016,Q3,18:06,2016
27-05-2016,Q4,17:37,2016
12-08-2016,Q1,17:16,2016
09-12-2016,Q2,16:08,2016
13-02-2017,Q3,17:52,2017
25-05-2017,Q4,20:12,2017
09-08-2017,Q1,17:49,2017
13-11-2017,Q2,19:50,2017
13-02-2018,Q3,19:51,2018
28-05-2018,Q4,18:47,2018
08-08-2018,Q1,20:37,2018
13-11-2018,Q2,15:41,2018
31-01-2019,Q3,17:13,2019
28-05-2019,Q4,18:34,2019
13-08-2019,Q1,18:12,2019
11-11-2019,Q2,17:21,2019
07-02-2020,Q3,11:23,2020
16-06-2020,Q4,18:40,2020
27-08-2020,Q1,17:02,2020
10-11-2020,Q2,18:00,2020
08-02-2021,Q3,18:30,2021
22-06-2021,Q4,19:46,2021
12-08-2021,Q1,15:27,2021
11-11-2021,Q2,19:14,2021
08-02-2022,Q3,18:23,2022
26-05-2022,Q4,20:06,2022
05-08-2022,Q1,16:10,2022
14-11-2022,Q2,19:04,2022
