Date,Quarter,Time,Year
10-05-2013,Q4,12:41,2013
30-07-2013,Q1,14:18,2013
29-10-2013,Q2,16:03,2013
28-01-2014,Q3,18:35,2014
15-05-2014,Q4,18:11,2014
31-07-2014,Q1,14:23,2014
31-10-2014,Q2,13:51,2014
30-01-2015,Q3,14:23,2015
29-05-2015,Q4,12:15,2015
30-07-2015,Q1,14:16,2015
29-10-2015,Q2,14:04,2015
29-01-2016,Q3,14:16,2016
30-05-2016,Q4,15:03,2016
22-08-2016,Q1,14:46,2016
28-10-2016,Q2,14:19,2016
08-02-2017,Q3,13:35,2017
29-05-2017,Q4,14:19,2017
29-07-2017,Q1,14:25,2017
13-11-2017,Q2,14:17,2017
31-01-2018,Q3,16:11,2018
28-05-2018,Q4,14:37,2018
28-07-2018,Q1,14:23,2018
02-11-2018,Q2,14:24,2018
30-01-2019,Q3,15:43,2019
25-05-2019,Q4,14:03,2019
10-08-2019,Q1,15:18,2019
09-11-2019,Q2,15:42,2019
07-02-2020,Q3,15:57,2020
27-06-2020,Q4,16:25,2020
14-08-2020,Q1,14:18,2020
02-11-2020,Q2,15:52,2020
04-02-2021,Q3,14:10,2021
19-06-2021,Q4,17:18,2021
31-07-2021,Q1,15:26,2021
28-10-2021,Q2,17:37,2021
29-01-2022,Q3,17:04,2022
20-05-2022,Q4,15:51,2022
29-07-2022,Q1,15:25,2022
29-10-2022,Q2,15:25,2022
