Date,Quarter,Time,Year
07-05-2013,Q4,20:55,2013
13-08-2013,Q1,19:39,2013
12-11-2013,Q2,20:55,2013
12-02-2014,Q3,21:07,2014
19-05-2014,Q4,10:15,2014
08-08-2014,Q1,08:19,2014
13-11-2014,Q2,14:59,2014
14-02-2015,Q3,10:55,2015
15-05-2015,Q4,17:35,2015
07-08-2015,Q1,08:48,2015
05-11-2015,Q2,21:24,2015
10-02-2016,Q3,20:55,2016
11-05-2016,Q4,21:23,2016
12-08-2016,Q1,21:25,2016
09-11-2016,Q2,20:28,2016
08-02-2017,Q3,20:53,2017
16-05-2017,Q4,20:33,2017
11-08-2017,Q1,20:14,2017
10-11-2017,Q2,10:45,2017
06-02-2018,Q3,20:27,2018
11-05-2018,Q4,20:01,2018
14-08-2018,Q1,12:05,2018
02-11-2018,Q2,19:48,2018
14-02-2019,Q3,10:06,2019
09-05-2019,Q4,20:13,2019
07-08-2019,Q1,19:51,2019
27-10-2021,Q2,20:40,2021
19-01-2022,Q3,20:34,2022
04-05-2022,Q4,20:41,2022
20-07-2022,Q1,20:37,2022
19-10-2022,Q2,20:16,2022
18-01-2023,Q3,19:21,2023
