Date,Quarter,Time,Year
29-05-2013,Q4,18:03,2013
12-08-2013,Q1,16:24,2013
13-11-2013,Q2,16:23,2013
13-02-2014,Q3,17:23,2014
29-05-2014,Q4,17:35,2014
13-08-2014,Q1,18:19,2014
14-11-2014,Q2,18:03,2014
14-02-2015,Q3,14:59,2015
28-05-2015,Q4,15:43,2015
13-08-2015,Q1,15:13,2015
06-11-2015,Q2,16:16,2015
11-02-2016,Q3,17:30,2016
26-05-2016,Q4,15:12,2016
07-09-2016,Q1,17:20,2016
27-10-2016,Q2,13:41,2016
31-01-2017,Q3,17:20,2017
26-05-2017,Q4,16:58,2017
27-07-2017,Q1,17:17,2017
28-10-2017,Q2,15:38,2017
09-02-2018,Q3,17:36,2018
30-05-2018,Q4,19:23,2018
02-08-2018,Q1,17:08,2018
03-11-2018,Q2,18:09,2018
14-02-2019,Q3,17:15,2019
30-05-2019,Q4,21:04,2019
13-08-2019,Q1,17:26,2019
14-11-2019,Q2,18:39,2019
14-02-2020,Q3,18:05,2020
30-06-2020,Q4,18:10,2020
01-09-2020,Q1,18:22,2020
13-11-2020,Q2,20:52,2020
13-02-2021,Q3,15:58,2021
24-06-2021,Q4,22:43,2021
13-08-2021,Q1,20:38,2021
12-11-2021,Q2,17:44,2021
30-05-2022,Q4,18:23,2022
12-08-2022,Q1,19:20,2022
14-11-2022,Q2,22:38,2022
