Date,Quarter,Time,Year
08-08-2013,Q1,13:30,2013
15-11-2013,Q2,16:47,2013
12-02-2014,Q3,21:23,2014
29-05-2014,Q4,14:51,2014
14-08-2014,Q1,14:35,2014
10-11-2014,Q2,13:47,2014
12-02-2015,Q3,13:19,2015
29-05-2015,Q4,09:19,2015
13-08-2015,Q1,11:30,2015
09-11-2015,Q2,13:46,2015
11-02-2016,Q3,13:05,2016
24-05-2016,Q4,14:16,2016
11-08-2016,Q1,11:44,2016
10-11-2016,Q2,13:02,2016
09-02-2017,Q3,13:55,2017
25-05-2017,Q4,13:56,2017
10-08-2017,Q1,11:40,2017
09-11-2017,Q2,12:43,2017
08-02-2018,Q3,14:37,2018
25-05-2018,Q4,14:49,2018
09-08-2018,Q1,13:00,2018
14-11-2018,Q2,13:11,2018
14-02-2019,Q3,14:32,2019
24-05-2019,Q4,15:43,2019
08-08-2019,Q1,15:37,2019
14-11-2019,Q2,18:48,2019
13-02-2020,Q3,15:45,2020
23-06-2020,Q4,14:43,2020
03-09-2020,Q1,12:48,2020
12-11-2020,Q2,13:41,2020
10-02-2021,Q3,13:43,2021
27-05-2021,Q4,13:15,2021
12-08-2021,Q1,15:26,2021
11-11-2021,Q2,13:54,2021
10-02-2022,Q3,13:44,2022
26-05-2022,Q4,15:21,2022
11-08-2022,Q1,15:21,2022
10-11-2022,Q2,14:53,2022
