Date,Quarter,Time,Year
03-05-2013,Q4,19:20,2013
25-07-2013,Q1,11:24,2013
23-10-2013,Q2,16:55,2013
30-01-2014,Q3,15:15,2014
05-05-2014,Q4,17:55,2014
06-08-2014,Q1,14:15,2014
21-10-2014,Q2,15:31,2014
09-02-2015,Q3,15:07,2015
07-05-2015,Q4,15:55,2015
06-08-2015,Q1,13:52,2015
02-11-2015,Q2,15:08,2015
08-02-2016,Q3,11:43,2016
16-05-2016,Q4,13:06,2016
01-08-2016,Q1,12:18,2016
27-10-2016,Q2,14:26,2016
13-02-2017,Q3,15:14,2017
12-05-2017,Q4,15:08,2017
01-08-2017,Q1,13:27,2017
06-11-2017,Q2,13:32,2017
30-01-2018,Q3,13:26,2018
28-05-2018,Q4,13:47,2018
30-07-2018,Q1,13:47,2018
25-10-2018,Q2,14:20,2018
28-01-2019,Q3,13:20,2019
26-04-2019,Q4,14:19,2019
30-07-2019,Q1,12:52,2019
21-10-2019,Q2,13:28,2019
04-02-2020,Q3,12:33,2020
11-05-2020,Q4,17:17,2020
30-07-2020,Q1,13:52,2020
28-10-2020,Q2,14:27,2020
11-02-2021,Q3,15:09,2021
13-05-2021,Q4,17:14,2021
06-08-2021,Q1,14:32,2021
11-11-2021,Q2,15:18,2021
10-02-2022,Q3,14:27,2022
26-05-2022,Q4,17:23,2022
29-07-2022,Q1,15:03,2022
09-11-2022,Q2,16:19,2022
23-11-2022,Q2,22:10,2022
