Date,Quarter,Time,Year
30-04-2013,Q4,14:53,2013
30-07-2013,Q1,17:20,2013
18-10-2013,Q2,19:35,2013
31-01-2014,Q3,15:43,2014
30-04-2014,Q4,15:19,2014
04-08-2014,Q1,15:15,2014
07-11-2014,Q2,13:35,2014
05-02-2015,Q3,14:03,2015
25-04-2015,Q4,17:19,2015
30-07-2015,Q1,14:31,2015
19-10-2015,Q2,14:01,2015
10-02-2016,Q3,19:05,2016
16-05-2016,Q4,22:01,2016
06-09-2016,Q1,11:18,2016
17-11-2016,Q2,18:14,2016
13-02-2017,Q3,18:30,2017
09-05-2017,Q4,22:11,2017
10-08-2017,Q1,15:04,2017
08-11-2017,Q2,19:29,2017
08-02-2018,Q3,17:45,2018
21-05-2018,Q4,15:12,2018
26-07-2018,Q1,17:10,2018
02-11-2018,Q2,14:06,2018
31-01-2019,Q3,16:22,2019
15-05-2019,Q4,19:00,2019
07-08-2019,Q1,17:24,2019
29-10-2019,Q2,17:18,2019
10-02-2020,Q3,20:02,2020
29-06-2020,Q4,22:12,2020
17-08-2020,Q1,20:15,2020
11-11-2020,Q2,22:03,2020
11-02-2021,Q3,20:16,2021
08-06-2021,Q4,20:54,2021
13-08-2021,Q1,20:56,2021
09-11-2021,Q2,18:26,2021
09-02-2022,Q3,17:36,2022
11-05-2022,Q4,18:48,2022
05-08-2022,Q1,16:26,2022
09-11-2022,Q2,19:14,2022
24-11-2022,Q2,20:17,2022
20-01-2023,Q3,17:40,2023
