Date,Quarter,Time,Year
30-05-2013,Q4,13:07,2013
02-08-2013,Q1,16:35,2013
08-11-2013,Q2,15:23,2013
04-02-2014,Q3,17:51,2014
27-05-2014,Q4,14:51,2014
14-08-2014,Q1,15:07,2014
31-10-2014,Q2,14:47,2014
11-02-2015,Q3,14:15,2015
28-05-2015,Q4,14:11,2015
14-08-2015,Q1,14:56,2015
03-11-2015,Q2,15:00,2015
09-02-2016,Q3,13:54,2016
25-05-2016,Q4,14:48,2016
09-08-2016,Q1,15:41,2016
09-11-2016,Q2,16:26,2016
13-02-2017,Q3,13:39,2017
29-05-2017,Q4,16:51,2017
10-08-2017,Q1,17:21,2017
03-11-2017,Q2,14:14,2017
12-02-2018,Q3,17:50,2018
25-05-2018,Q4,13:44,2018
11-09-2018,Q1,14:09,2018
02-11-2018,Q2,15:36,2018
11-02-2019,Q3,14:09,2019
29-05-2019,Q4,12:00,2019
13-08-2019,Q1,15:52,2019
14-11-2019,Q2,14:42,2019
12-02-2020,Q3,14:40,2020
24-06-2020,Q4,15:17,2020
13-08-2020,Q1,15:07,2020
12-11-2020,Q2,14:48,2020
11-02-2021,Q3,15:17,2021
15-06-2021,Q4,13:23,2021
12-08-2021,Q1,14:51,2021
11-11-2021,Q2,16:18,2021
11-02-2022,Q3,14:50,2022
25-05-2022,Q4,15:35,2022
12-08-2022,Q1,14:47,2022
10-11-2022,Q2,14:51,2022
