Date,Quarter,Time,Year
29-05-2013,Q4,11:12,2013
13-08-2013,Q1,18:36,2013
29-10-2013,Q2,20:11,2013
29-01-2014,Q3,10:19,2014
28-05-2014,Q4,18:11,2014
30-07-2014,Q1,20:07,2014
05-11-2014,Q2,09:19,2014
28-01-2015,Q3,20:07,2015
19-05-2015,Q4,19:47,2015
28-07-2015,Q1,18:18,2015
28-10-2015,Q2,16:37,2015
29-01-2016,Q3,17:46,2016
19-05-2016,Q4,19:49,2016
29-07-2016,Q1,14:19,2016
09-11-2016,Q2,18:30,2016
01-02-2017,Q3,18:34,2017
18-05-2017,Q4,19:54,2017
25-07-2017,Q1,18:22,2017
08-11-2017,Q2,18:44,2017
24-01-2018,Q3,17:48,2018
24-05-2018,Q4,19:24,2018
01-08-2018,Q1,18:27,2018
30-10-2018,Q2,18:43,2018
23-01-2019,Q3,18:19,2019
14-05-2019,Q4,18:28,2019
06-08-2019,Q1,13:52,2019
13-11-2019,Q2,19:19,2019
29-01-2020,Q3,17:46,2020
17-06-2020,Q4,19:39,2020
06-08-2020,Q1,17:48,2020
04-11-2020,Q2,18:26,2020
28-01-2021,Q3,18:41,2021
12-05-2021,Q4,19:56,2021
11-08-2021,Q1,13:34,2021
10-11-2021,Q2,18:57,2021
25-01-2022,Q3,14:32,2022
18-05-2022,Q4,19:59,2022
10-08-2022,Q1,13:29,2022
09-11-2022,Q2,18:36,2022
23-11-2022,Q2,17:34,2022
