Date,Quarter,Time,Year
09-05-2013,Q4,12:09,2013
26-07-2013,Q1,11:45,2013
08-11-2013,Q2,12:23,2013
31-01-2014,Q3,11:51,2014
13-05-2014,Q4,11:39,2014
25-07-2014,Q1,11:59,2014
21-10-2014,Q2,12:23,2014
03-02-2015,Q3,11:47,2015
08-05-2015,Q4,12:07,2015
28-07-2015,Q1,11:53,2015
06-11-2015,Q2,12:10,2015
09-02-2016,Q3,12:29,2016
18-05-2016,Q4,12:28,2016
28-07-2016,Q1,12:32,2016
05-11-2016,Q2,12:15,2016
07-02-2017,Q3,12:24,2017
16-05-2017,Q4,13:02,2017
02-08-2017,Q1,10:59,2017
03-11-2017,Q2,13:42,2017
06-02-2018,Q3,12:24,2018
15-05-2018,Q4,15:53,2018
08-08-2018,Q1,15:32,2018
02-11-2018,Q2,12:29,2018
05-02-2019,Q3,13:09,2019
28-05-2019,Q4,13:43,2019
26-07-2019,Q1,13:20,2019
05-11-2019,Q2,13:45,2019
04-02-2020,Q3,13:47,2020
19-06-2020,Q4,22:21,2020
21-08-2020,Q1,22:06,2020
02-11-2020,Q2,17:06,2020
05-02-2021,Q3,18:38,2021
04-06-2021,Q4,19:38,2021
02-08-2021,Q1,17:21,2021
27-10-2021,Q2,20:04,2021
27-01-2022,Q3,18:10,2022
11-05-2022,Q4,20:13,2022
28-07-2022,Q1,19:40,2022
