Date,Quarter,Time,Year
01-08-2013,Q1,17:36,2013
23-10-2013,Q2,17:27,2013
06-02-2014,Q3,10:55,2014
29-05-2014,Q4,19:03,2014
04-08-2014,Q1,20:59,2014
11-11-2014,Q2,17:39,2014
11-02-2015,Q3,18:07,2015
30-05-2015,Q4,17:31,2015
10-08-2015,Q1,19:27,2015
03-11-2015,Q2,19:47,2015
27-01-2016,Q3,16:10,2016
26-05-2016,Q4,20:10,2016
16-08-2016,Q1,13:51,2016
09-11-2016,Q2,17:33,2016
09-02-2017,Q3,17:23,2017
29-05-2017,Q4,18:23,2017
01-08-2017,Q1,17:00,2017
02-11-2017,Q2,16:43,2017
01-02-2018,Q3,18:24,2018
29-05-2018,Q4,16:02,2018
31-07-2018,Q1,19:06,2018
05-11-2018,Q2,17:47,2018
31-01-2019,Q3,15:49,2019
29-05-2019,Q4,17:18,2019
02-08-2019,Q1,12:11,2019
07-11-2019,Q2,15:43,2019
31-01-2020,Q3,15:40,2020
20-06-2020,Q4,19:11,2020
10-08-2020,Q1,19:05,2020
11-11-2020,Q2,18:37,2020
11-02-2021,Q3,17:49,2021
17-06-2021,Q4,18:28,2021
10-08-2021,Q1,18:19,2021
09-11-2021,Q2,18:11,2021
09-02-2022,Q3,16:42,2022
21-05-2022,Q4,17:34,2022
08-08-2022,Q1,17:03,2022
05-11-2022,Q2,12:13,2022
