Date,Quarter,Time,Year
28-05-2013,Q4,15:11,2013
30-07-2013,Q1,14:14,2013
30-10-2013,Q2,12:15,2013
31-01-2014,Q3,15:11,2014
29-05-2014,Q4,13:19,2014
31-07-2014,Q1,13:31,2014
31-10-2014,Q2,12:59,2014
30-01-2015,Q3,12:47,2015
29-05-2015,Q4,15:55,2015
22-07-2015,Q1,12:43,2015
03-11-2015,Q2,12:44,2015
29-01-2016,Q3,12:47,2016
27-05-2016,Q4,12:33,2016
29-07-2016,Q1,12:32,2016
27-10-2016,Q2,13:31,2016
03-02-2017,Q3,13:24,2017
30-05-2017,Q4,13:12,2017
26-07-2017,Q1,13:27,2017
27-10-2017,Q2,13:10,2017
31-01-2018,Q3,13:13,2018
04-05-2018,Q4,12:50,2018
25-07-2018,Q1,12:35,2018
25-10-2018,Q2,12:52,2018
24-01-2019,Q3,13:26,2019
10-05-2019,Q4,13:15,2019
25-07-2019,Q1,16:25,2019
17-10-2019,Q2,14:40,2019
23-01-2020,Q3,14:10,2020
08-06-2020,Q4,16:46,2020
14-09-2020,Q1,17:09,2020
03-11-2020,Q2,17:35,2020
15-01-2021,Q3,14:16,2021
02-06-2021,Q4,14:58,2021
29-07-2021,Q1,14:43,2021
22-10-2021,Q2,13:22,2021
21-01-2022,Q3,13:29,2022
09-05-2022,Q4,17:27,2022
21-07-2022,Q1,13:59,2022
17-10-2022,Q2,13:57,2022
19-01-2023,Q3,15:36,2023
