Date,Quarter,Time,Year
29-07-2013,Q1,11:07,2013
23-10-2013,Q2,12:07,2013
12-02-2014,Q3,13:47,2014
22-05-2014,Q4,12:59,2014
28-07-2014,Q1,09:55,2014
07-11-2014,Q2,09:19,2014
05-02-2015,Q3,13:11,2015
29-05-2015,Q4,13:35,2015
05-08-2015,Q1,16:34,2015
06-11-2015,Q2,12:13,2015
09-02-2016,Q3,12:00,2016
20-05-2016,Q4,11:03,2016
03-08-2016,Q1,11:55,2016
09-11-2016,Q2,11:49,2016
07-02-2017,Q3,13:33,2017
30-05-2017,Q4,11:12,2017
03-08-2017,Q1,12:16,2017
02-11-2017,Q2,12:44,2017
06-02-2018,Q3,12:52,2018
23-05-2018,Q4,13:35,2018
02-08-2018,Q1,13:24,2018
30-10-2018,Q2,12:48,2018
29-01-2019,Q3,13:09,2019
22-05-2019,Q4,13:37,2019
07-08-2019,Q1,13:06,2019
29-01-2020,Q3,12:53,2020
19-06-2020,Q4,12:27,2020
14-08-2020,Q1,12:55,2020
02-11-2020,Q2,17:07,2020
03-02-2021,Q3,12:53,2021
24-05-2021,Q4,13:36,2021
27-07-2021,Q1,13:06,2021
25-10-2021,Q2,13:06,2021
24-01-2022,Q3,17:14,2022
23-05-2022,Q4,16:10,2022
01-08-2022,Q1,12:57,2022
09-11-2022,Q2,13:18,2022
