Date,Quarter,Time,Year
19-10-2016,Q2,16:34,2016
20-01-2017,Q3,15:39,2017
02-05-2017,Q4,15:49,2017
20-07-2017,Q1,16:45,2017
25-10-2017,Q2,15:52,2017
23-01-2018,Q3,16:50,2018
27-04-2018,Q4,18:30,2018
19-07-2018,Q1,11:58,2018
23-10-2018,Q2,13:00,2018
28-01-2019,Q3,13:25,2019
18-04-2019,Q4,12:59,2019
19-07-2019,Q1,14:32,2019
22-10-2019,Q2,15:50,2019
22-01-2020,Q3,15:43,2020
07-05-2020,Q4,16:30,2020
28-07-2020,Q1,16:00,2020
28-10-2020,Q2,15:40,2020
28-01-2021,Q3,15:59,2021
04-05-2021,Q4,16:17,2021
02-08-2021,Q1,15:50,2021
28-10-2021,Q2,17:25,2021
27-01-2022,Q3,18:02,2022
12-05-2022,Q4,15:59,2022
21-07-2022,Q1,15:50,2022
22-10-2022,Q2,14:25,2022
20-01-2023,Q3,15:57,2023
