Date,Quarter,Time,Year
14-02-2014,Q3,16:23,2014
31-03-2014,Q3,10:59,2014
26-05-2014,Q4,18:19,2014
12-08-2014,Q1,16:35,2014
10-11-2014,Q2,14:07,2014
13-02-2015,Q3,18:03,2015
17-02-2015,Q3,10:43,2015
28-05-2015,Q4,19:39,2015
07-08-2015,Q1,18:33,2015
09-11-2015,Q2,14:00,2015
10-02-2016,Q3,15:10,2016
27-05-2016,Q4,17:03,2016
11-08-2016,Q1,14:52,2016
09-11-2016,Q2,14:24,2016
14-02-2017,Q3,12:52,2017
30-05-2017,Q4,13:10,2017
11-08-2017,Q1,16:00,2017
06-11-2017,Q2,14:18,2017
06-02-2018,Q3,16:47,2018
28-05-2018,Q4,18:01,2018
14-09-2018,Q1,15:50,2018
05-12-2018,Q2,14:27,2018
08-02-2019,Q3,16:56,2019
24-05-2019,Q4,17:23,2019
06-08-2019,Q1,14:59,2019
05-11-2019,Q2,15:11,2019
04-02-2020,Q3,18:41,2020
17-06-2020,Q4,16:57,2020
07-08-2020,Q1,15:32,2020
06-11-2020,Q2,19:58,2020
04-02-2021,Q3,15:43,2021
28-05-2021,Q4,22:03,2021
05-08-2021,Q1,14:50,2021
29-10-2021,Q2,17:09,2021
04-02-2022,Q3,15:10,2022
13-05-2022,Q4,18:50,2022
04-08-2022,Q1,17:48,2022
27-10-2022,Q2,11:55,2022
