Date,Quarter,Time,Year
16-04-2013,Q4,17:13,2013
19-07-2013,Q1,17:45,2013
14-10-2013,Q2,17:55,2013
17-01-2014,Q3,17:19,2014
18-04-2014,Q4,18:07,2014
19-07-2014,Q1,16:55,2014
13-10-2014,Q2,18:19,2014
16-01-2015,Q3,18:23,2015
17-04-2015,Q4,16:03,2015
24-07-2015,Q1,16:29,2015
16-10-2015,Q2,16:23,2015
19-01-2016,Q3,16:45,2016
22-04-2016,Q4,17:27,2016
15-07-2016,Q1,17:07,2016
20-10-2016,Q2,17:12,2016
16-01-2017,Q3,17:26,2017
24-04-2017,Q4,17:07,2017
20-07-2017,Q1,17:44,2017
13-10-2017,Q2,17:16,2017
19-01-2018,Q3,18:15,2018
27-04-2018,Q4,18:24,2018
27-07-2018,Q1,18:11,2018
17-10-2018,Q2,18:47,2018
17-01-2019,Q3,18:16,2019
18-04-2019,Q4,18:15,2019
19-07-2019,Q1,18:23,2019
18-10-2019,Q2,18:35,2019
17-01-2020,Q3,18:46,2020
30-04-2020,Q4,18:32,2020
30-07-2020,Q1,19:18,2020
30-10-2020,Q2,20:02,2020
22-01-2021,Q3,19:50,2021
30-04-2021,Q4,19:34,2021
23-07-2021,Q1,19:37,2021
22-10-2021,Q2,20:17,2021
21-01-2022,Q3,19:48,2022
06-05-2022,Q4,19:44,2022
22-07-2022,Q1,19:34,2022
21-10-2022,Q2,19:38,2022
