Date,Quarter,Time,Year
14-08-2013,Q1,14:41,2013
11-11-2013,Q2,15:55,2013
14-02-2014,Q3,22:47,2014
28-05-2014,Q4,15:27,2014
11-08-2014,Q1,14:55,2014
13-11-2014,Q2,19:31,2014
13-02-2015,Q3,14:07,2015
29-05-2015,Q4,15:27,2015
14-08-2015,Q1,14:43,2015
06-11-2015,Q2,14:48,2015
09-02-2016,Q3,13:45,2016
30-05-2016,Q4,22:17,2016
08-09-2016,Q1,19:42,2016
08-12-2016,Q2,20:15,2016
09-02-2017,Q3,16:27,2017
30-05-2017,Q4,21:03,2017
11-08-2017,Q1,15:49,2017
09-11-2017,Q2,17:15,2017
08-02-2018,Q3,18:00,2018
30-05-2018,Q4,22:25,2018
03-08-2018,Q1,18:50,2018
03-11-2018,Q2,14:18,2018
07-02-2019,Q3,19:39,2019
30-05-2019,Q4,20:40,2019
09-08-2019,Q1,20:18,2019
14-11-2019,Q2,20:33,2019
14-02-2020,Q3,19:40,2020
10-07-2020,Q1,19:58,2020
14-09-2020,Q1,20:52,2020
06-11-2020,Q2,19:50,2020
29-01-2021,Q3,22:14,2021
11-06-2021,Q4,02:03,2021
06-08-2021,Q1,18:58,2021
29-10-2021,Q2,19:27,2021
09-02-2022,Q3,20:19,2022
24-05-2022,Q4,18:47,2022
10-08-2022,Q1,20:27,2022
10-11-2022,Q2,19:06,2022
