Date,Quarter,Time,Year
31-10-2017,Q2,14:11,2017
30-01-2018,Q3,13:34,2018
26-04-2018,Q4,15:10,2018
26-07-2018,Q1,14:54,2018
19-10-2018,Q2,19:25,2018
18-01-2019,Q3,18:19,2019
25-04-2019,Q4,20:24,2019
23-07-2019,Q1,18:20,2019
15-10-2019,Q2,19:37,2019
22-01-2020,Q3,14:59,2020
05-05-2020,Q4,15:00,2020
21-07-2020,Q1,14:10,2020
26-10-2020,Q2,14:34,2020
22-01-2021,Q3,14:12,2021
03-05-2021,Q4,14:53,2021
26-07-2021,Q1,15:16,2021
28-10-2021,Q2,13:20,2021
21-01-2022,Q3,15:08,2022
28-04-2022,Q4,15:14,2022
28-07-2022,Q1,18:15,2022
21-10-2022,Q2,16:49,2022
04-11-2022,Q2,15:40,2022
