Date,Quarter,Time,Year
13-11-2013,Q2,12:35,2013
14-02-2014,Q3,13:07,2014
23-05-2014,Q4,12:55,2014
08-08-2014,Q1,12:55,2014
14-11-2014,Q2,12:35,2014
13-02-2015,Q3,12:23,2015
22-05-2015,Q4,13:27,2015
11-08-2015,Q1,12:26,2015
06-11-2015,Q2,12:06,2015
11-02-2016,Q3,13:04,2016
27-05-2016,Q4,13:10,2016
12-08-2016,Q1,12:31,2016
11-11-2016,Q2,12:41,2016
10-02-2017,Q3,12:55,2017
19-05-2017,Q4,12:08,2017
11-08-2017,Q1,13:04,2017
10-11-2017,Q2,12:55,2017
09-02-2018,Q3,17:49,2018
22-05-2018,Q4,14:10,2018
10-08-2018,Q1,14:01,2018
05-11-2018,Q2,15:21,2018
01-02-2019,Q3,13:40,2019
10-05-2019,Q4,13:46,2019
02-08-2019,Q1,13:48,2019
25-10-2019,Q2,13:52,2019
31-01-2020,Q3,13:41,2020
05-06-2020,Q4,14:09,2020
31-07-2020,Q1,13:38,2020
04-11-2020,Q2,19:03,2020
04-02-2021,Q3,13:34,2021
21-05-2021,Q4,14:12,2021
04-08-2021,Q1,13:33,2021
03-11-2021,Q2,13:42,2021
05-02-2022,Q3,13:32,2022
13-05-2022,Q4,13:20,2022
06-08-2022,Q1,13:18,2022
05-11-2022,Q2,13:59,2022
