Date,Quarter,Time,Year
30-07-2013,Q1,16:13,2013
25-10-2013,Q2,13:59,2013
27-01-2014,Q3,13:27,2014
28-04-2014,Q4,13:31,2014
25-08-2014,Q1,15:47,2014
10-11-2014,Q2,13:47,2014
03-02-2015,Q3,13:35,2015
29-04-2015,Q4,13:39,2015
05-08-2015,Q1,13:15,2015
14-11-2015,Q2,13:52,2015
02-02-2016,Q3,13:44,2016
26-05-2016,Q4,15:02,2016
12-08-2016,Q1,13:58,2016
07-11-2016,Q2,14:35,2016
30-01-2017,Q3,15:48,2017
16-05-2017,Q4,16:35,2017
31-07-2017,Q1,13:15,2017
08-11-2017,Q2,15:20,2017
11-01-2018,Q3,15:51,2018
28-04-2018,Q4,12:50,2018
30-07-2018,Q1,13:43,2018
12-11-2018,Q2,15:39,2018
22-01-2019,Q3,13:20,2019
18-05-2019,Q4,13:50,2019
09-08-2019,Q1,13:51,2019
19-10-2019,Q2,13:16,2019
14-02-2020,Q3,13:19,2020
08-05-2020,Q4,16:40,2020
10-08-2020,Q1,17:31,2020
11-11-2020,Q2,18:20,2020
30-01-2021,Q3,13:02,2021
21-05-2021,Q4,16:50,2021
09-08-2021,Q1,16:43,2021
29-10-2021,Q2,15:58,2021
04-02-2022,Q3,16:07,2022
21-05-2022,Q4,13:50,2022
28-07-2022,Q1,12:27,2022
14-10-2022,Q2,16:17,2022
28-10-2022,Q2,16:58,2022
