Date,Quarter,Time,Year
26-04-2013,Q4,14:44,2013
02-08-2013,Q1,16:16,2013
22-11-2013,Q2,17:23,2013
30-01-2014,Q3,15:11,2014
25-04-2014,Q4,16:19,2014
13-08-2014,Q1,13:43,2014
26-11-2014,Q2,18:19,2014
30-01-2015,Q3,15:07,2015
24-04-2015,Q4,16:23,2015
05-08-2015,Q1,15:52,2015
27-11-2015,Q2,15:33,2015
29-01-2016,Q3,14:23,2016
06-05-2016,Q4,16:24,2016
04-08-2016,Q1,20:42,2016
23-11-2016,Q2,14:17,2016
08-02-2017,Q3,13:30,2017
10-05-2017,Q4,15:30,2017
31-07-2017,Q1,17:04,2017
24-11-2017,Q2,11:19,2017
06-02-2018,Q3,13:48,2018
03-05-2018,Q4,10:11,2018
08-08-2018,Q1,16:56,2018
18-11-2018,Q2,10:47,2018
06-02-2019,Q3,14:29,2019
14-05-2019,Q4,14:22,2019
07-08-2019,Q1,17:10,2019
19-11-2019,Q2,18:01,2019
11-02-2020,Q3,15:01,2020
13-05-2020,Q4,18:28,2020
07-08-2020,Q1,18:34,2020
25-11-2020,Q2,19:04,2020
12-02-2021,Q3,16:12,2021
11-05-2021,Q4,16:22,2021
10-08-2021,Q1,21:36,2021
24-11-2021,Q2,17:53,2021
04-02-2022,Q3,16:16,2022
12-05-2022,Q4,18:03,2022
02-08-2022,Q1,21:43,2022
22-11-2022,Q2,18:51,2022
05-12-2022,Q2,22:36,2022
