Date,Quarter,Time,Year
03-05-2013,Q4,19:25,2013
29-07-2013,Q1,09:52,2013
28-10-2013,Q2,17:47,2013
11-02-2014,Q3,20:19,2014
09-05-2014,Q4,18:55,2014
04-08-2014,Q1,18:35,2014
28-10-2014,Q2,17:55,2014
10-02-2015,Q3,17:35,2015
12-05-2015,Q4,09:43,2015
06-08-2015,Q1,17:14,2015
06-11-2015,Q2,16:20,2015
08-02-2016,Q3,17:01,2016
10-05-2016,Q4,18:37,2016
08-08-2016,Q1,17:42,2016
11-11-2016,Q2,15:49,2016
10-02-2017,Q3,16:04,2017
22-05-2017,Q4,17:59,2017
08-08-2017,Q1,18:35,2017
09-11-2017,Q2,16:28,2017
07-02-2018,Q3,16:42,2018
17-05-2018,Q4,18:31,2018
07-08-2018,Q1,17:27,2018
01-11-2018,Q2,18:08,2018
04-02-2019,Q3,17:53,2019
13-05-2019,Q4,19:09,2019
05-08-2019,Q1,17:08,2019
03-02-2020,Q3,18:09,2020
04-06-2020,Q4,16:54,2020
30-07-2020,Q1,14:08,2020
04-11-2020,Q2,16:12,2020
21-01-2021,Q3,15:22,2021
05-05-2021,Q4,13:51,2021
28-07-2021,Q1,13:59,2021
25-10-2021,Q2,13:35,2021
25-01-2022,Q3,15:12,2022
09-05-2022,Q4,15:36,2022
21-07-2022,Q1,15:41,2022
03-11-2022,Q2,14:52,2022
