Date,Quarter,Time,Year
07-05-2013,Q4,15:21,2013
23-07-2013,Q1,14:10,2013
29-10-2013,Q2,19:35,2013
29-01-2014,Q3,14:35,2014
29-04-2014,Q4,17:51,2014
25-07-2014,Q1,13:23,2014
21-10-2014,Q2,08:47,2014
27-01-2015,Q3,08:15,2015
30-04-2015,Q4,16:19,2015
31-07-2015,Q1,17:16,2015
29-10-2015,Q2,13:45,2015
30-01-2016,Q3,17:53,2016
29-04-2016,Q4,15:31,2016
27-07-2016,Q1,14:26,2016
25-10-2016,Q2,14:02,2016
31-01-2017,Q3,14:57,2017
27-04-2017,Q4,13:58,2017
31-07-2017,Q1,13:21,2017
01-11-2017,Q2,14:15,2017
27-01-2018,Q3,13:25,2018
27-04-2018,Q4,15:13,2018
26-07-2018,Q1,16:06,2018
25-10-2018,Q2,20:48,2018
28-01-2019,Q3,13:29,2019
08-05-2019,Q4,22:08,2019
24-07-2019,Q1,19:05,2019
24-10-2019,Q2,19:40,2019
03-02-2020,Q3,18:28,2020
10-06-2020,Q4,17:43,2020
13-08-2020,Q1,18:39,2020
29-10-2020,Q2,19:45,2020
28-01-2021,Q3,17:32,2021
29-04-2021,Q4,17:57,2021
30-07-2021,Q1,17:46,2021
29-10-2021,Q2,17:52,2021
24-01-2022,Q3,16:41,2022
28-04-2022,Q4,16:49,2022
28-07-2022,Q1,15:44,2022
20-10-2022,Q2,15:54,2022
