Date,Quarter,Time,Year
28-05-2013,Q4,16:31,2013
12-08-2013,Q1,09:50,2013
13-11-2013,Q2,19:55,2013
13-02-2014,Q3,14:59,2014
29-05-2014,Q4,15:15,2014
13-08-2014,Q1,08:07,2014
13-11-2014,Q2,16:19,2014
14-02-2015,Q3,14:55,2015
29-05-2015,Q4,18:47,2015
11-08-2015,Q1,17:05,2015
07-11-2015,Q2,17:27,2015
12-02-2016,Q3,14:46,2016
30-05-2016,Q4,22:03,2016
12-08-2016,Q1,14:14,2016
10-11-2016,Q2,15:47,2016
14-02-2017,Q3,16:30,2017
29-05-2017,Q4,13:08,2017
11-08-2017,Q1,15:36,2017
14-11-2017,Q2,15:53,2017
14-02-2018,Q3,15:54,2018
25-05-2018,Q4,16:32,2018
14-08-2018,Q1,14:20,2018
13-11-2018,Q2,16:31,2018
12-02-2019,Q3,16:28,2019
28-05-2019,Q4,17:19,2019
13-08-2019,Q1,19:33,2019
07-11-2019,Q2,14:50,2019
06-02-2020,Q3,15:05,2020
27-05-2020,Q4,15:01,2020
31-07-2020,Q1,14:46,2020
03-11-2020,Q2,14:58,2020
29-01-2021,Q3,14:06,2021
27-05-2021,Q4,15:53,2021
30-07-2021,Q1,13:55,2021
02-11-2021,Q2,13:17,2021
31-01-2022,Q3,13:41,2022
31-05-2022,Q4,12:24,2022
29-07-2022,Q1,13:39,2022
01-11-2022,Q2,13:36,2022
16-11-2022,Q2,12:23,2022
