Date,Quarter,Time,Year
17-05-2013,Q4,10:48,2013
02-08-2013,Q1,16:21,2013
08-11-2013,Q2,14:15,2013
07-02-2014,Q3,15:55,2014
23-05-2014,Q4,16:43,2014
08-08-2014,Q1,16:43,2014
07-11-2014,Q2,16:39,2014
06-02-2015,Q3,16:07,2015
29-05-2015,Q4,16:07,2015
31-07-2015,Q1,13:14,2015
28-10-2015,Q2,11:28,2015
12-02-2016,Q3,16:45,2016
27-05-2016,Q4,15:41,2016
19-08-2016,Q1,15:40,2016
11-11-2016,Q2,16:26,2016
10-02-2017,Q3,16:01,2017
26-05-2017,Q4,17:10,2017
11-08-2017,Q1,16:26,2017
10-11-2017,Q2,16:17,2017
09-02-2018,Q3,16:45,2018
11-05-2018,Q4,16:39,2018
10-08-2018,Q1,16:56,2018
02-11-2018,Q2,16:41,2018
08-02-2019,Q3,16:34,2019
23-05-2019,Q4,21:03,2019
09-08-2019,Q1,16:59,2019
12-11-2019,Q2,16:47,2019
14-02-2020,Q3,16:45,2020
26-06-2020,Q4,15:47,2020
14-08-2020,Q1,16:20,2020
12-11-2020,Q2,16:44,2020
08-02-2021,Q3,16:29,2021
11-06-2021,Q4,16:43,2021
13-08-2021,Q1,16:46,2021
05-11-2021,Q2,17:01,2021
10-02-2022,Q3,16:41,2022
27-05-2022,Q4,17:08,2022
12-08-2022,Q1,16:56,2022
11-11-2022,Q2,16:58,2022
25-11-2022,Q2,17:39,2022
