Date,Quarter,Time,Year
05-08-2013,Q1,14:58,2013
11-11-2013,Q2,14:43,2013
03-02-2014,Q3,18:39,2014
30-05-2014,Q4,14:51,2014
05-08-2014,Q1,14:15,2014
10-11-2014,Q2,14:35,2014
06-02-2015,Q3,13:59,2015
27-05-2015,Q4,15:51,2015
05-08-2015,Q1,14:31,2015
06-11-2015,Q2,18:04,2015
10-02-2016,Q3,15:21,2016
26-05-2016,Q4,19:05,2016
05-08-2016,Q1,15:07,2016
10-11-2016,Q2,17:36,2016
08-02-2017,Q3,14:19,2017
26-05-2017,Q4,13:08,2017
08-08-2017,Q1,18:43,2017
13-11-2017,Q2,14:07,2017
06-02-2018,Q3,14:44,2018
18-05-2018,Q4,16:29,2018
13-08-2018,Q1,18:02,2018
02-11-2018,Q2,17:10,2018
05-02-2019,Q3,18:13,2019
03-05-2019,Q4,16:49,2019
08-08-2019,Q1,16:56,2019
03-02-2020,Q3,14:34,2020
15-05-2020,Q4,19:30,2020
31-07-2020,Q1,16:56,2020
29-10-2020,Q2,19:10,2020
28-01-2021,Q3,17:29,2021
03-05-2021,Q4,16:51,2021
05-08-2021,Q1,16:48,2021
27-10-2021,Q2,16:57,2021
10-02-2022,Q3,16:17,2022
29-04-2022,Q4,15:49,2022
09-08-2022,Q1,15:32,2022
27-10-2022,Q2,16:29,2022
10-11-2022,Q2,19:01,2022
