Date,Quarter,Time,Year
28-05-2013,Q4,18:11,2013
26-07-2013,Q1,17:39,2013
29-10-2013,Q2,17:51,2013
12-02-2014,Q3,18:11,2014
13-05-2014,Q4,15:35,2014
04-08-2014,Q1,17:59,2014
03-11-2014,Q2,08:23,2014
12-02-2015,Q3,18:27,2015
28-07-2015,Q1,18:43,2015
27-10-2015,Q2,18:35,2015
02-02-2016,Q3,19:29,2016
27-05-2016,Q4,22:07,2016
01-08-2016,Q1,21:09,2016
08-11-2016,Q2,18:27,2016
23-01-2017,Q3,20:26,2017
04-05-2017,Q4,18:35,2017
24-07-2017,Q1,18:25,2017
25-10-2017,Q2,17:14,2017
08-02-2018,Q3,18:08,2018
10-05-2018,Q4,21:47,2018
09-08-2018,Q1,19:05,2018
01-11-2018,Q2,18:59,2018
30-01-2019,Q3,18:21,2019
08-05-2019,Q4,17:30,2019
02-08-2019,Q1,20:54,2019
08-11-2019,Q2,17:43,2019
19-01-2022,Q3,17:02,2022
21-04-2022,Q4,19:01,2022
20-07-2022,Q1,15:56,2022
18-10-2022,Q2,19:35,2022
