Date,Quarter,Time,Year
24-05-2016,Q4,18:43,2016
09-08-2016,Q1,14:29,2016
15-11-2016,Q2,17:51,2016
01-02-2017,Q3,19:13,2017
30-05-2017,Q4,22:17,2017
11-08-2017,Q1,13:34,2017
14-11-2017,Q2,13:09,2017
02-02-2018,Q3,17:54,2018
11-05-2018,Q4,17:21,2018
01-08-2018,Q1,12:37,2018
30-10-2018,Q2,16:24,2018
05-02-2019,Q3,13:23,2019
23-04-2019,Q4,16:25,2019
31-07-2019,Q1,16:22,2019
30-10-2019,Q2,17:31,2019
04-02-2020,Q3,16:34,2020
14-05-2020,Q4,17:36,2020
04-08-2020,Q1,17:42,2020
06-11-2020,Q2,17:20,2020
02-02-2021,Q3,17:26,2021
06-05-2021,Q4,16:27,2021
03-08-2021,Q1,18:06,2021
22-10-2021,Q2,18:03,2021
02-02-2022,Q3,16:11,2022
04-05-2022,Q4,18:05,2022
10-08-2022,Q1,16:39,2022
20-10-2022,Q2,16:30,2022
04-11-2022,Q2,13:25,2022
