Date,Quarter,Time,Year
29-05-2013,Q4,17:12,2013
07-08-2013,Q1,15:13,2013
08-11-2013,Q2,15:47,2013
10-02-2014,Q3,15:51,2014
29-05-2014,Q4,16:31,2014
11-08-2014,Q1,15:47,2014
14-11-2014,Q2,15:47,2014
05-02-2015,Q3,19:55,2015
26-05-2015,Q4,16:15,2015
07-08-2015,Q1,15:31,2015
06-11-2015,Q2,15:36,2015
11-02-2016,Q3,15:13,2016
30-05-2016,Q4,18:20,2016
26-08-2016,Q1,15:05,2016
14-11-2016,Q2,19:53,2016
14-02-2017,Q3,15:06,2017
23-05-2017,Q4,16:28,2017
11-08-2017,Q1,12:25,2017
09-11-2017,Q2,13:49,2017
05-02-2018,Q3,15:32,2018
23-05-2018,Q4,17:39,2018
31-07-2018,Q1,16:34,2018
31-10-2018,Q2,15:32,2018
07-02-2019,Q3,15:57,2019
20-05-2019,Q4,16:16,2019
25-07-2019,Q1,16:14,2019
25-10-2019,Q2,17:10,2019
30-01-2020,Q3,16:03,2020
15-06-2020,Q4,17:15,2020
31-07-2020,Q1,16:48,2020
27-10-2020,Q2,15:50,2020
29-01-2021,Q3,16:00,2021
18-05-2021,Q4,16:47,2021
26-07-2021,Q1,16:21,2021
01-11-2021,Q2,16:21,2021
31-01-2022,Q3,15:54,2022
12-05-2022,Q4,16:13,2022
27-07-2022,Q1,16:31,2022
09-11-2022,Q2,15:53,2022
10-11-2022,Q2,14:51,2022
