Date,Quarter,Time,Year
30-05-2013,Q4,14:58,2013
06-08-2013,Q1,13:27,2013
14-11-2013,Q2,13:51,2013
07-02-2014,Q3,13:23,2014
29-05-2014,Q4,21:35,2014
12-08-2014,Q1,15:23,2014
13-11-2014,Q2,15:43,2014
04-02-2015,Q3,14:51,2015
19-05-2015,Q4,19:07,2015
13-08-2015,Q1,13:26,2015
09-11-2015,Q2,12:48,2015
05-02-2016,Q3,16:47,2016
23-05-2016,Q4,19:24,2016
23-08-2016,Q1,12:59,2016
29-11-2016,Q2,18:50,2016
10-02-2017,Q3,14:58,2017
19-05-2017,Q4,14:44,2017
14-08-2017,Q1,13:53,2017
03-11-2017,Q2,13:21,2017
14-02-2018,Q3,14:38,2018
02-05-2018,Q4,16:46,2018
26-07-2018,Q1,14:00,2018
29-10-2018,Q2,13:51,2018
28-01-2019,Q3,15:27,2019
02-05-2019,Q4,17:47,2019
01-08-2019,Q1,17:36,2019
08-11-2019,Q2,16:59,2019
29-01-2020,Q3,16:57,2020
19-05-2020,Q4,18:12,2020
12-08-2020,Q1,16:19,2020
10-11-2020,Q2,16:26,2020
04-02-2021,Q3,16:27,2021
12-05-2021,Q4,17:31,2021
06-08-2021,Q1,15:56,2021
28-10-2021,Q2,16:25,2021
09-02-2022,Q3,16:16,2022
06-05-2022,Q4,17:13,2022
26-07-2022,Q1,16:02,2022
28-10-2022,Q2,16:47,2022
