Date,Quarter,Time,Year
13-11-2013,Q2,17:51,2013
11-02-2014,Q3,20:03,2014
14-05-2014,Q4,18:27,2014
13-08-2014,Q1,15:27,2014
12-11-2014,Q2,15:39,2014
06-02-2015,Q3,19:35,2015
20-05-2015,Q4,17:31,2015
11-08-2015,Q1,15:32,2015
05-11-2015,Q2,16:41,2015
04-02-2016,Q3,18:33,2016
25-05-2016,Q4,19:55,2016
12-09-2016,Q1,15:54,2016
11-11-2016,Q2,18:22,2016
07-02-2017,Q3,17:07,2017
16-05-2017,Q4,18:02,2017
07-08-2017,Q1,17:29,2017
30-10-2017,Q2,18:28,2017
09-02-2018,Q3,15:37,2018
16-05-2018,Q4,18:25,2018
13-08-2018,Q1,19:00,2018
13-11-2018,Q2,18:38,2018
08-02-2019,Q3,16:17,2019
25-04-2019,Q4,19:15,2019
07-08-2019,Q1,18:30,2019
06-11-2019,Q2,17:46,2019
07-02-2020,Q3,18:57,2020
29-06-2020,Q4,17:59,2020
13-08-2020,Q1,20:10,2020
13-11-2020,Q2,19:28,2020
09-02-2021,Q3,19:01,2021
05-05-2021,Q4,19:23,2021
12-08-2021,Q1,17:43,2021
11-11-2021,Q2,18:53,2021
04-02-2022,Q3,19:03,2022
03-05-2022,Q4,19:24,2022
25-07-2022,Q1,18:15,2022
31-10-2022,Q2,17:30,2022
02-11-2022,Q2,20:28,2022
22-11-2022,Q2,21:10,2022
