Date,Quarter,Time,Year
15-10-2013,Q2,16:15,2013
16-01-2014,Q3,17:43,2014
16-04-2014,Q4,17:03,2014
17-07-2014,Q1,17:19,2014
16-10-2014,Q2,16:35,2014
15-01-2015,Q3,16:47,2015
16-04-2015,Q4,17:43,2015
09-07-2015,Q1,16:38,2015
13-10-2015,Q2,17:08,2015
12-01-2016,Q3,18:27,2016
18-04-2016,Q4,17:02,2016
14-07-2016,Q1,16:12,2016
13-10-2016,Q2,16:33,2016
12-01-2017,Q3,15:32,2017
18-04-2017,Q4,17:02,2017
13-07-2017,Q1,16:36,2017
12-10-2017,Q2,16:40,2017
11-01-2018,Q3,17:27,2018
19-04-2018,Q4,17:54,2018
10-07-2018,Q1,17:04,2018
11-10-2018,Q2,16:44,2018
10-01-2019,Q3,16:58,2019
12-04-2019,Q4,16:40,2019
09-07-2019,Q1,17:17,2019
10-10-2019,Q2,16:41,2019
17-01-2020,Q3,16:01,2020
16-04-2020,Q4,19:13,2020
09-07-2020,Q1,17:49,2020
07-10-2020,Q2,18:32,2020
08-01-2021,Q3,18:07,2021
12-04-2021,Q4,18:43,2021
08-07-2021,Q1,18:41,2021
08-10-2021,Q2,18:23,2021
12-01-2022,Q3,23:37,2022
11-04-2022,Q4,17:40,2022
08-07-2022,Q1,16:36,2022
10-10-2022,Q2,16:53,2022
25-10-2022,Q2,18:28,2022
09-01-2023,Q3,17:16,2023
