Date,Quarter,Time,Year
07-11-2013,Q2,15:47,2013
04-02-2014,Q3,15:59,2014
14-05-2014,Q4,16:35,2014
31-07-2014,Q1,15:39,2014
29-10-2014,Q2,16:03,2014
30-01-2015,Q3,15:39,2015
26-05-2015,Q4,15:51,2015
27-07-2015,Q1,15:50,2015
03-11-2015,Q2,15:40,2015
01-02-2016,Q3,15:50,2016
24-05-2016,Q4,15:58,2016
01-08-2016,Q1,15:38,2016
27-10-2016,Q2,15:44,2016
30-01-2017,Q3,15:35,2017
26-05-2017,Q4,16:00,2017
31-07-2017,Q1,15:47,2017
01-11-2017,Q2,15:12,2017
29-01-2018,Q3,15:39,2018
25-05-2018,Q4,15:36,2018
30-07-2018,Q1,15:37,2018
30-10-2018,Q2,15:32,2018
05-02-2019,Q3,15:36,2019
21-05-2019,Q4,15:38,2019
30-07-2019,Q1,15:41,2019
05-11-2019,Q2,15:38,2019
31-01-2020,Q3,15:41,2020
30-04-2020,Q4,16:51,2020
27-07-2020,Q1,16:45,2020
23-10-2020,Q2,16:02,2020
29-01-2021,Q3,17:26,2021
26-04-2021,Q4,20:21,2021
29-07-2021,Q1,15:32,2021
25-10-2021,Q2,16:04,2021
01-02-2022,Q3,15:36,2022
13-05-2022,Q4,15:54,2022
25-07-2022,Q1,15:52,2022
01-11-2022,Q2,15:38,2022
15-11-2022,Q2,23:21,2022
