Date,Quarter,Time,Year
01-08-2013,Q1,14:26,2013
31-10-2013,Q2,15:51,2013
29-01-2014,Q3,17:03,2014
06-05-2014,Q4,15:11,2014
01-08-2014,Q1,15:03,2014
30-10-2014,Q2,17:07,2014
27-01-2015,Q3,17:15,2015
07-05-2015,Q4,18:03,2015
31-07-2015,Q1,14:07,2015
30-10-2015,Q2,17:04,2015
28-01-2016,Q3,17:27,2016
06-05-2016,Q4,17:01,2016
03-08-2016,Q1,14:58,2016
04-11-2016,Q2,13:53,2016
07-02-2017,Q3,15:53,2017
15-05-2017,Q4,09:39,2017
03-08-2017,Q1,14:43,2017
03-11-2017,Q2,15:41,2017
01-02-2018,Q3,15:28,2018
10-05-2018,Q4,16:45,2018
03-08-2018,Q1,14:15,2018
09-11-2018,Q2,16:23,2018
01-02-2019,Q3,16:00,2019
08-05-2019,Q4,17:11,2019
06-08-2019,Q1,14:50,2019
05-11-2019,Q2,15:32,2019
04-02-2020,Q3,14:05,2020
08-06-2020,Q4,19:16,2020
10-08-2020,Q1,16:38,2020
28-10-2020,Q2,13:29,2020
10-02-2021,Q3,15:54,2021
29-04-2021,Q4,18:01,2021
04-08-2021,Q1,16:32,2021
27-10-2021,Q2,16:29,2021
03-02-2022,Q3,13:42,2022
03-05-2022,Q4,14:21,2022
05-08-2022,Q1,13:36,2022
04-11-2022,Q2,15:40,2022
